Year,Amount $,Ministry Name,Expenditure Category (Operating / Capital),Program Name,Activity / Item,Sub Item,Standard Account (Expense/Asset Name),Account Details (Expense/Asset Details)
2022-23,21694,Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Transportation and communication,No Value
2022-23,2046433,Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Services,No Value
2022-23,8073,Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Supplies and equipment,No Value
2022-23,-2779756,Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Recoveries,No Value
2022-23,2905678,Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Salaries and wages,No Value
2022-23,454252,Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Employee benefits,No Value
2022-23,10544,Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Transportation and communication,No Value
2022-23,101612,Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Services,No Value
2022-23,1977,Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Supplies and equipment,No Value
2022-23,49301,Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Salaries and wages,"Minister's Salary, the Executive Council Act"
2022-23,29260,Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Salaries and wages,"Parliamentary Assistants' Salaries, the Executive Council Act"
2022-23,19884984,Treasury Board Secretariat,Operating Expense,Labour Relations and Compensation Program,Labour Relations and Compensation,No Value,Salaries and wages,No Value
2022-23,2943994,Treasury Board Secretariat,Operating Expense,Labour Relations and Compensation Program,Labour Relations and Compensation,No Value,Employee benefits,No Value
2022-23,198087,Treasury Board Secretariat,Operating Expense,Labour Relations and Compensation Program,Labour Relations and Compensation,No Value,Transportation and communication,No Value
2022-23,7929629,Treasury Board Secretariat,Operating Expense,Labour Relations and Compensation Program,Labour Relations and Compensation,No Value,Services,No Value
2022-23,67026,Treasury Board Secretariat,Operating Expense,Labour Relations and Compensation Program,Labour Relations and Compensation,No Value,Supplies and equipment,No Value
2022-23,-1426922,Treasury Board Secretariat,Operating Expense,Labour Relations and Compensation Program,Labour Relations and Compensation,No Value,Recoveries,No Value
2022-23,5530648,Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share),No Value,Employee benefits,Provincial Judges' Registered Pension Plan
2022-23,36615000,Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share),No Value,Employee benefits,Provincial Judges' Retirement Compensation Arrangement
2022-23,21706181,Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share),No Value,Employee benefits,Provincial Judges' Supplemental Pension Plan
2022-23,23458738,Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share),No Value,Employee benefits,Public Service Pension Plan Retirement Compensation Arrangement
2022-23,241748882,Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share),No Value,Employee benefits,Canada Pension Plan
2022-23,749005,Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share),No Value,Employee benefits,Associate Judges Supplemental Pension Plan
2022-23,59531532,Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share),No Value,Employee benefits,Dental Plan
2022-23,127083831,Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share),No Value,Employee benefits,Employer Health Tax
2022-23,80622207,Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share),No Value,Employee benefits,Employment Insurance
2022-23,3644996,Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share),No Value,Employee benefits,Group Life Insurance
2022-23,1577898,Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share),No Value,Employee benefits,Justices of the Peace Supplemental Pension Plan
2022-23,64101684,Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share),No Value,Employee benefits,Legislative Severance
2022-23,160891006,Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share),No Value,Employee benefits,Long-Term Income Protection
2022-23,39736673,Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share),No Value,Employee benefits,Ontario Provincial Police Association Benefits
2022-23,232401427,Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share),No Value,Employee benefits,Ontario Public Service Employees' Union Pension Plan
2022-23,719388793,Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share),No Value,Employee benefits,Public Service Pension Plan
2022-23,217111396,Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share),No Value,Employee benefits,Retired Employees' Benefits
2022-23,160165493,Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share),No Value,Employee benefits,Supplementary Health and Hospital Plan
2022-23,15816263,Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share),No Value,Employee benefits,Other Benefits
2022-23,-866428024,Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Employee and Pensioner Benefits (Employer Share),No Value,Recoveries,No Value
2022-23,19566287,Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Statutory Appropriations,"Prior Period Obligations and Actuarial Adjustments, the Financial Administration Act",Employee benefits,Provincial Judges' Registered Pension Plan
2022-23,3575567,Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Statutory Appropriations,"Prior Period Obligations and Actuarial Adjustments, the Financial Administration Act",Employee benefits,Provincial Judges' Retirement Compensation Arrangement
2022-23,28260181,Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Statutory Appropriations,"Prior Period Obligations and Actuarial Adjustments, the Financial Administration Act",Employee benefits,Provincial Judges' Supplemental Pension Plan
2022-23,"49,560,124",Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Statutory Appropriations,"Prior Period Obligations and Actuarial Adjustments, the Financial Administration Act",Employee benefits,Public Service Pension Plan Retirement Compensation Arrangement
2022-23,"609,491",Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Statutory Appropriations,"Prior Period Obligations and Actuarial Adjustments, the Financial Administration Act",Employee benefits,Associate Judges Supplemental Pension Plan
2022-23,-13900000,Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Statutory Appropriations,"Prior Period Obligations and Actuarial Adjustments, the Financial Administration Act",Employee benefits,Continuation of Benefits for WSIB & LTIP
2022-23,12351605,Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Statutory Appropriations,"Prior Period Obligations and Actuarial Adjustments, the Financial Administration Act",Employee benefits,Group Life Insurance
2022-23,-555648,Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Statutory Appropriations,"Prior Period Obligations and Actuarial Adjustments, the Financial Administration Act",Employee benefits,Justices of the Peace Supplemental Pension Plan
2022-23,-37910014,Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Statutory Appropriations,"Prior Period Obligations and Actuarial Adjustments, the Financial Administration Act",Employee benefits,Legislative Severance
2022-23,-52100000,Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Statutory Appropriations,"Prior Period Obligations and Actuarial Adjustments, the Financial Administration Act",Employee benefits,Long-Term Income Protection (LTIP)
2022-23,33230001,Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Statutory Appropriations,"Prior Period Obligations and Actuarial Adjustments, the Financial Administration Act",Employee benefits,Ontario Public Service Employees' Union Pension Plan
2022-23,-174150325,Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Statutory Appropriations,"Prior Period Obligations and Actuarial Adjustments, the Financial Administration Act",Employee benefits,Public Service Pension Plan
2022-23,218367609,Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Statutory Appropriations,"Prior Period Obligations and Actuarial Adjustments, the Financial Administration Act",Employee benefits,Retired Employees' Benefits
2022-23,-31492021,Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Statutory Appropriations,"Prior Period Obligations and Actuarial Adjustments, the Financial Administration Act",Employee benefits,Vacation Pay and Compensated Absences
2022-23,-164600000,Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Statutory Appropriations,"Prior Period Obligations and Actuarial Adjustments, the Financial Administration Act",Employee benefits,Workers Compensation Insurance Board (WSIB)
2022-23,-9403800,Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,Statutory Appropriations,"Prior Period Obligations and Actuarial Adjustments, the Financial Administration Act",Employee benefits,Other Benefits
2022-23,16139672,Treasury Board Secretariat,Operating Expense,Treasury Board Support Program,Treasury Board Support and Financial Planning,Expenditure Management,Salaries and wages,No Value
2022-23,2260515,Treasury Board Secretariat,Operating Expense,Treasury Board Support Program,Treasury Board Support and Financial Planning,Expenditure Management,Employee benefits,No Value
2022-23,239221,Treasury Board Secretariat,Operating Expense,Treasury Board Support Program,Treasury Board Support and Financial Planning,Expenditure Management,Transportation and communication,No Value
2022-23,1537856,Treasury Board Secretariat,Operating Expense,Treasury Board Support Program,Treasury Board Support and Financial Planning,Expenditure Management,Services,Other Services
2022-23,28386,Treasury Board Secretariat,Operating Expense,Treasury Board Support Program,Treasury Board Support and Financial Planning,Expenditure Management,Supplies and equipment,No Value
2022-23,7199791,Treasury Board Secretariat,Operating Expense,Treasury Board Support Program,Treasury Board Support and Financial Planning,Planning and Performance,Salaries and wages,No Value
2022-23,975257,Treasury Board Secretariat,Operating Expense,Treasury Board Support Program,Treasury Board Support and Financial Planning,Planning and Performance,Employee benefits,No Value
2022-23,22769,Treasury Board Secretariat,Operating Expense,Treasury Board Support Program,Treasury Board Support and Financial Planning,Planning and Performance,Transportation and communication,No Value
2022-23,3546378,Treasury Board Secretariat,Operating Expense,Treasury Board Support Program,Treasury Board Support and Financial Planning,Planning and Performance,Services,Other Services
2022-23,3527,Treasury Board Secretariat,Operating Expense,Treasury Board Support Program,Treasury Board Support and Financial Planning,Planning and Performance,Supplies and equipment,No Value
2022-23,-49221,Treasury Board Secretariat,Operating Expense,Treasury Board Support Program,Treasury Board Support and Financial Planning,Planning and Performance,Recoveries,No Value
2022-23,33202373,Treasury Board Secretariat,Operating Expense,"Centre for People, Culture and Talent Program","Centre for People, Culture and Talent",No Value,Salaries and wages,No Value
2022-23,4943271,Treasury Board Secretariat,Operating Expense,"Centre for People, Culture and Talent Program","Centre for People, Culture and Talent",No Value,Employee benefits,No Value
2022-23,186132,Treasury Board Secretariat,Operating Expense,"Centre for People, Culture and Talent Program","Centre for People, Culture and Talent",No Value,Transportation and communication,No Value
2022-23,9254558,Treasury Board Secretariat,Operating Expense,"Centre for People, Culture and Talent Program","Centre for People, Culture and Talent",No Value,Services,No Value
2022-23,68544,Treasury Board Secretariat,Operating Expense,"Centre for People, Culture and Talent Program","Centre for People, Culture and Talent",No Value,Supplies and equipment,No Value
2022-23,142862,Treasury Board Secretariat,Operating Expense,"Centre for People, Culture and Talent Program","Centre for People, Culture and Talent",No Value,Transfer payments,Quarter Century Club
