Fiscal Year, Amount $,Organization (Level 1),Budget category (Level 2),Program (Level 3),Program component (Level 4),Voted Item (Level 5),Expense type (Level 6),Expense Detail (Level 7)
2014-2015,"4,889,311",Ministry of Aboriginal Affairs,Operating Expense,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Services,
2014-2015,"4,980,004",Ministry of Aboriginal Affairs,Operating Expense,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Transfer payments,"Aboriginal Economic Development Fund"
2014-2015,"5,526,659",Ministry of Aboriginal Affairs,Operating Expense,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Transfer payments,Participation Fund
2014-2015,"6,561,315",Ministry of Aboriginal Affairs,Operating Expense,Ministry of Aboriginal Affairs,Ministry Administration,Ministry Administration,Services,
2014-2015,"8,532,541",Ministry of Aboriginal Affairs,Operating Expense,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Salaries and wages,
2014-2015,"14,481,595",Ministry of Aboriginal Affairs,Operating Expense,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Transfer payments,New Relationship Fund
2014-2015,"-1,870,900",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,Economic Development,Salaries and wages,Recoveries
2014-2015,"-202,800",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,Economic Development,employee benefits,Recoveries
2014-2015,"-21,755",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,Economic Development,Transportation and communication,Recoveries
2014-2015,"-423,691",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,Economic Development,Services,Recoveries
2014-2015,"-22,077",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,Economic Development,Supplies and equipment,Recoveries
2014-2015,"-527,752",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,Better Public Health and Environment,Better Public Health and Environment,Better Public Health and Environment,Transfer payments,Recoveries
2014-2015,-,Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Payments: re: Guaranteed Bank Loans,Statutory Appropriations,Other transactions,
2014-2015,-,Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Payments: re: Guaranteed Bank Loans,Statutory Appropriations,Other transactions,
2014-2015,319,Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,Ministry Administration,Ministry Administration,Audit Services,Transportation and communication,
2014-2015,"17,524",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Research,Research,Supplies and equipment,
2014-2015,"18,607",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,Ministry Administration,Ministry Administration,Legal Services,Transportation and communication,
2014-2015,"8,159,876",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Capital Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Agriculture and Rural Affairs Capital,Agriculture and Rural Affairs Capital,Transfer payments,Broadband Infrastructure Fund - Federal Contribution
2014-2015,"11,954,587",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Capital Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Agriculture and Rural Affairs Capital,Agriculture and Rural Affairs Capital,Transfer payments,Building Canada Fund - Communities Component
2014-2015,"26,060",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,Ministry Administration,Ministry Administration,Human Resources,Supplies and equipment,
2014-2015,"26,641",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,Ministry Administration,Ministry Administration,Human Resources,Transportation and communication,
2014-2015,"27,011",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,Ministry Administration,Ministry Administration,Business Planning and Financial Services,Supplies and equipment,
2014-2015,"14,022,229",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Capital Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Agriculture and Rural Affairs Capital,Agriculture and Rural Affairs Capital,Transfer payments,"Building Canada Fund - Communities Component - Federal Contribution"
2014-2015,"30,619",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,Ministry Administration,Ministry Administration,Legal Services,Supplies and equipment,
2014-2015,"35,907",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Business Risk Management Transfers,Business Risk Management Transfers,Transfer payments,"Other Assistance for Risk Management"
2014-2015,"35,911",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,Ministry Administration,Ministry Administration,Business Planning and Financial Services,Transportation and communication,
2014-2015,"49,301",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,Ministry Administration,Minister's Salary,Statutory Appropriations,Salaries and wages,
2014-2015,"37,920",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,Ministry Administration,Ministry Administration,Main Office,Supplies and equipment,
2014-2015,"57,275",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,Ministry Administration,Ministry Administration,Communications Services,Supplies and equipment,
2014-2015,"68,728",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,Ministry Administration,Ministry Administration,Business Services,Supplies and equipment,
2014-2015,"70,448",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Research,Research,Transportation and communication,
2014-2015,"75,532",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,Better Public Health and Environment,Bad Debt Expense,Statutory Appropriations,Other transactions,
2014-2015,"92,524",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,Ministry Administration,Ministry Administration,Communications Services,Transportation and communication,
2014-2015,"129,819",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,Ministry Administration,Ministry Administration,Human Resources,Services,
2014-2015,"134,148",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,Ministry Administration,Ministry Administration,Main Office,Transportation and communication,
2014-2015,"150,427",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,Ministry Administration,Ministry Administration,Business Planning and Financial Services,Services,
2014-2015,"157,470",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,Policy Development,Policy Development,Policy Development,Supplies and equipment,
2014-2015,"187,391",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Bad Debt Expense,Statutory Appropriations,Other transactions,
2014-2015,"200,000",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,Economic Development,Transfer payments,"Horse Racing Industry Transition Program"
2014-2015,"211,148",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,Ministry Administration,Ministry Administration,Business Services,Transportation and communication,
2014-2015,"215,841",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,Ministry Administration,Ministry Administration,Main Office,Services,
2014-2015,"243,370",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,Ministry Administration,Ministry Administration,Human Resources,Employee benefits,
2014-2015,"259,441",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Research,Research,Employee benefits,
2014-2015,"319,503",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,Policy Development,Policy Development,Policy Development,Transportation and communication,
2014-2015,"351,127",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Bad Debt Expense,Statutory Appropriations,Other transactions,
2014-2015,"366,035",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,Ministry Administration,Ministry Administration,Main Office,Employee benefits,
2014-2015,"440,449",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,Economic Development,Supplies and equipment,
2014-2015,"479,206",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,Ministry Administration,Ministry Administration,Audit Services,Services,
2014-2015,"500,000",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Capital Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Agriculture and Rural Affairs Capital,Agriculture and Rural Affairs Capital,Transfer payments,"Agri-Food and Animal Health Laboratory Infrastructure"
2014-2015,"500,000",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Research,Research,Transfer payments,Food Safety Research
2014-2015,"-94,805",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,Better Public Health and Environment,Better Public Health and Environment,Better Public Health and Environment,Salaries and wages,Recoveries
2014-2015,"-1,460",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,Better Public Health and Environment,Better Public Health and Environment,Better Public Health and Environment,Transportation and communication,Recoveries
2014-2015,"-5,983",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,Better Public Health and Environment,Better Public Health and Environment,Better Public Health and Environment,Services,Recoveries
2014-2015,"517,717",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,Better Public Health and Environment,Better Public Health and Environment,Better Public Health and Environment,Transfer payments,"Agri-Environmental Standards Research"
2014-2015,"533,615",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,Better Public Health and Environment,Better Public Health and Environment,Better Public Health and Environment,Supplies and equipment,
2014-2015,"540,752",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,Better Public Health and Environment,Better Public Health and Environment,Better Public Health and Environment,Transfer payments,"Lake Simcoe Agri-Environmental Partnerships"
2014-2015,"637,909",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,Ministry Administration,Ministry Administration,Business Planning and Financial Services,Employee benefits,
2014-2015,"728,594",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,Ministry Administration,Ministry Administration,Communications Services,Employee benefits,
2014-2015,"750,000",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Research,Research,Transfer payments,Grants in Lieu of Taxes
2014-2015,"977,155",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Research,Research,Services,
2014-2015,"980,972",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,Ministry Administration,Ministry Administration,Business Services,Employee benefits,
2014-2015,"1,182,111",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,Ministry Administration,Ministry Administration,Communications Services,Services,
2014-2015,"1,291,525",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,Economic Development,Transfer payments,Other Assistance Rural
2014-2015,"1,311,624",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,Economic Development,Transportation and communication,
2014-2015,"1,350,000",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Research,Research,Transfer payments,Competitive Research
2014-2015,"1,361,000",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,Better Public Health and Environment,Better Public Health and Environment,Better Public Health and Environment,Transfer payments,Other Assistance for Public Health
2014-2015,"1,679,851",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,Better Public Health and Environment,Better Public Health and Environment,Better Public Health and Environment,Transfer payments,Environment Partnerships
2014-2015,"1,746,710",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,Better Public Health and Environment,Better Public Health and Environment,Better Public Health and Environment,Transportation and communication,
2014-2015,"1,805,321",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,Policy Development,Policy Development,Policy Development,Employee benefits,
2014-2015,"2,008,421",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Research,Research,Salaries and wages,
2014-2015,"2,127,909",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,Ministry Administration,Ministry Administration,Human Resources,Salaries and wages,
2014-2015,"2,155,361",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,Ministry Administration,Ministry Administration,Business Services,Salaries and wages,
2014-2015,"2,354,055",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,Ministry Administration,Ministry Administration,Main Office,Salaries and wages,
2014-2015,"2,465,168",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,Ministry Administration,Ministry Administration,Legal Services,Services,
2014-2015,"2,669,885",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,Policy Development,Policy Development,Policy Development,Services,
2014-2015,"2,835,000",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,Economic Development,Transfer payments,"Ontario Wine Grape Transition Program"
2014-2015,"2,859,450",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,Economic Development,Transfer payments,"Rural Summer Jobs Program"
2014-2015,"3,000,000",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Capital Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Agriculture and Rural Affairs Capital,Agriculture and Rural Affairs Capital,Transfer payments,"Research and Education Base Building Investments"
2014-2015,"3,236,220",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,Ministry Administration,Ministry Administration,Business Services,Services,
2014-2015,"3,362,341",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,Ministry Administration,Ministry Administration,Business Planning and Financial Services,Salaries and wages,
2014-2015,"3,379,197",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,Ministry Administration,Ministry Administration,Communications Services,Salaries and wages,
2014-2015,"3,605,000",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Business Risk Management Transfers,Business Risk Management Transfers,Transfer payments,"Beekeepers Financial Assistance Program"
2014-2015,"3,743,839",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,Economic Development,Transfer payments,Agriculture Development
2014-2015,"16,667",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,Ministry Administration,Parliamentary Assistant's Salary,Statutory Appropriations,Salaries and wages,
2014-2015,"4,308,086",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,Economic Development,Employee benefits,
2014-2015,"5,011,868",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,Better Public Health and Environment,Better Public Health and Environment,Better Public Health and Environment,Employee benefits,
2014-2015,"5,214,000",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Research,Research,Transfer payments,Strategic Partnerships
2014-2015,"6,500,000",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,Economic Development,Transfer payments,Bio-products Initiatives
2014-2015,"13,085,348",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,Better Public Health and Environment,Better Public Health and Environment,Better Public Health and Environment,Transfer payments,"Growing Forward - Federal - Better Public Health and Environment"
2014-2015,"9,183,691",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Capital Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Agriculture and Rural Affairs Capital,Agriculture and Rural Affairs Capital,Transfer payments,Green Infrastructure Fund
2014-2015,"9,462,127",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,Better Public Health and Environment,Better Public Health and Environment,Better Public Health and Environment,Transfer payments,"Agricultural Drainage Infrastructure Program"
2014-2015,"10,570,285",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,Policy Development,Policy Development,Policy Development,Salaries and wages,
2014-2015,"27,186,584",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,Economic Development,Transfer payments,Growing Forward - Federal - Economic Development
2014-2015,"4,950,000",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Research,Research,Transfer payments,Growing Forward - Federal - Research
2014-2015,"12,000,000",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Capital Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Agriculture and Rural Affairs Capital,Agriculture and Rural Affairs Capital,Transfer payments,"Research and Education Infrastructure Renewal"
2014-2015,"13,139,232",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,Better Public Health and Environment,Better Public Health and Environment,Better Public Health and Environment,Services,
2014-2015,"14,875,333",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Business Risk Management Transfers,Business Risk Management Transfers,Transfer payments,Agricorp
2014-2015,"17,082,334",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,Economic Development,Services,
2014-2015,"20,408,840",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Business Risk Management Transfers,Business Risk Management Transfers,Transfer payments,AgriStability
2014-2015,"22,391,000",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Business Risk Management Transfers,Business Risk Management Transfers,Transfer payments,AgriInvest
2014-2015,"22,552,674",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,Economic Development,Salaries and wages,
2014-2015,"23,551,310",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,Economic Development,Transfer payments,"Rural Economic Development Program"
2014-2015,"25,717,839",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,Economic Development,Transfer payments,"Ontario Ethanol Growth Fund"
2014-2015,"30,513,928",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,Better Public Health and Environment,Better Public Health and Environment,Better Public Health and Environment,Salaries and wages,
2014-2015,"34,700,000",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Business Risk Management Transfers,Business Risk Management Transfers,Transfer payments,AgriInsurance
2014-2015,"4,187,098",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Capital Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Agriculture and Rural Affairs Capital,Agriculture and Rural Affairs Capital,Transfer payments,"Ontario Small Waterworks Assistance Program - Phase 3"
2014-2015,"1,195,002",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Capital Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Agriculture and Rural Affairs Capital,Agriculture and Rural Affairs Capital,Transfer payments,"Other Community Infrastructure - Provincial"
