Year,Amount ($),Ministry Name (Level 1),"Expenditure Category (Operating / Capital)
(Level 2)","Program Name
(Level 3)","Activity / Item
(Level 4)","Sub-Item 
(Level 5)",Standard Account (Expense/Asset Name) (Level 6),"Account Details (Expense/Asset Details) 
(Level 7)"
2016-17,"179,013","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Transportation and communication,
2016-17,"249,631","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Services,
2016-17,"387,340","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Employee benefits,
2016-17,"2,451,932","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Salaries and wages,
2016-17,"16,667","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,Ministry Administration Program,Statutory Appropriations,,Salaries and wages,"Parliamentary Assistant's Salary, the Executive Council Act"
2016-17,"49,301","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,Ministry Administration Program,Statutory Appropriations,,Salaries and wages,"Minister's Salary, the Executive Council Act"
2016-17,"-940,000","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,Better Public Health And Environment,Better Public Health and Environment,,Recoveries,
2016-17,"397,251","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,Better Public Health And Environment,Better Public Health and Environment,,Transfer Payments,Other Assistance for Public Health
2016-17,"552,505","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,Better Public Health And Environment,Better Public Health and Environment,,Supplies and equipment,
2016-17,"675,059","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,Better Public Health And Environment,Better Public Health and Environment,,Transfer Payments,Agri-Environmental Standards Research
2016-17,"869,266","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,Better Public Health And Environment,Better Public Health and Environment,,Transfer Payments,Lake Simcoe Agri-Environmental Partnerships
2016-17,"1,383,481","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,Better Public Health And Environment,Better Public Health and Environment,,Transfer Payments,Environment Partnerships
2016-17,"1,819,382","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,Better Public Health And Environment,Better Public Health and Environment,,Transportation and communication,
2016-17,"4,586,268","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,Better Public Health And Environment,Better Public Health and Environment,,Employee benefits,
2016-17,"14,414,211","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,Better Public Health And Environment,Better Public Health and Environment,,Services,
2016-17,"15,659,356","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,Better Public Health And Environment,Better Public Health and Environment,,Transfer Payments,Growing Forward - Federal - Better Public Health and Environment
2016-17,"16,322,092","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,Better Public Health And Environment,Better Public Health and Environment,,Transfer Payments,Agricultural Drainage Infrastructure Program
2016-17,"31,803,604","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,Better Public Health And Environment,Better Public Health and Environment,,Salaries and wages,
2016-17,"2,561","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,Better Public Health And Environment,Statutory Appropriations,,Other transactions,"Bad Debt Expense, the Financial Administration Act"
2016-17,"312,168", Office Of The Auditor General,Operating Expense,Office Of The Auditor General Program,Office of the Auditor General,,Transportation and communication,
2016-17,"812,090", Office Of The Auditor General,Operating Expense,Office Of The Auditor General Program,Office of the Auditor General,,Supplies and equipment,
2016-17,"2,998,172", Office Of The Auditor General,Operating Expense,Office Of The Auditor General Program,Office of the Auditor General,,Employee benefits,
2016-17,"4,075,213", Office Of The Auditor General,Operating Expense,Office Of The Auditor General Program,Office of the Auditor General,,Services,
2016-17,"10,155,569", Office Of The Auditor General,Operating Expense,Office Of The Auditor General Program,Office of the Auditor General,,Salaries and wages,
2016-17,"202,221", Office Of The Auditor General,Operating Expense,Office Of The Auditor General Program,The Auditor General Act,,Services,
2016-17,"4,410","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,"Strong Agriculture, Food And Bio-Product Sectors And Strong Rural Communities",Business Risk Management Transfers,,Transfer Payments,Other Assistance for Risk Management
2016-17,"541,874","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,"Strong Agriculture, Food And Bio-Product Sectors And Strong Rural Communities",Business Risk Management Transfers,,Transfer Payments,Wildlife Damage Compensation - Federal
2016-17,"596,646","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,"Strong Agriculture, Food And Bio-Product Sectors And Strong Rural Communities",Business Risk Management Transfers,,Transfer Payments,Wildlife Damage Compensation - Provincial
2016-17,"13,654,132","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,"Strong Agriculture, Food And Bio-Product Sectors And Strong Rural Communities",Business Risk Management Transfers,,Transfer Payments,Agricorp
2016-17,"20,949,160","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,"Strong Agriculture, Food And Bio-Product Sectors And Strong Rural Communities",Business Risk Management Transfers,,Transfer Payments,AgriInvest
2016-17,"31,000,000","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,"Strong Agriculture, Food And Bio-Product Sectors And Strong Rural Communities",Business Risk Management Transfers,,Transfer Payments,AgriInsurance
2016-17,"34,191,120","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,"Strong Agriculture, Food And Bio-Product Sectors And Strong Rural Communities",Business Risk Management Transfers,,Transfer Payments,AgriStability
2016-17,"123,938,924","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,"Strong Agriculture, Food And Bio-Product Sectors And Strong Rural Communities",Business Risk Management Transfers,,Transfer Payments,Ontario Risk Management Program
2016-17,"-2,389,435","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,"Strong Agriculture, Food And Bio-Product Sectors And Strong Rural Communities",Economic Development,,Recoveries,
2016-17,"499,057","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,"Strong Agriculture, Food And Bio-Product Sectors And Strong Rural Communities",Economic Development,,Supplies and equipment,
2016-17,"1,361,749","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,"Strong Agriculture, Food And Bio-Product Sectors And Strong Rural Communities",Economic Development,,Transportation and communication,
2016-17,"2,535,000","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,"Strong Agriculture, Food And Bio-Product Sectors And Strong Rural Communities",Economic Development,,Transfer Payments,Rural Economic Development Program
2016-17,"3,223,181","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,"Strong Agriculture, Food And Bio-Product Sectors And Strong Rural Communities",Economic Development,,Employee benefits,
2016-17,"4,076,007","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,"Strong Agriculture, Food And Bio-Product Sectors And Strong Rural Communities",Economic Development,,Transfer Payments,Other Assistance Rural
2016-17,"6,490,000","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,"Strong Agriculture, Food And Bio-Product Sectors And Strong Rural Communities",Economic Development,,Transfer Payments,Horse Racing Industry Development Program
2016-17,"9,109,480","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,"Strong Agriculture, Food And Bio-Product Sectors And Strong Rural Communities",Economic Development,,Transfer Payments,Food Industry
2016-17,"14,760,560","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,"Strong Agriculture, Food And Bio-Product Sectors And Strong Rural Communities",Economic Development,,Transfer Payments,Ontario Wine Fund
2016-17,"15,468,587","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,"Strong Agriculture, Food And Bio-Product Sectors And Strong Rural Communities",Economic Development,,Services,
2016-17,"22,258,037","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,"Strong Agriculture, Food And Bio-Product Sectors And Strong Rural Communities",Economic Development,,Salaries and wages,
2016-17,"25,156,243","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,"Strong Agriculture, Food And Bio-Product Sectors And Strong Rural Communities",Economic Development,,Transfer Payments,Growing Forward - Federal - Economic Development
2016-17,"26,054,541","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,"Strong Agriculture, Food And Bio-Product Sectors And Strong Rural Communities",Economic Development,,Transfer Payments,Agriculture Development
2016-17,"32,657,452","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,"Strong Agriculture, Food And Bio-Product Sectors And Strong Rural Communities",Economic Development,,Transfer Payments,Ontario Ethanol Growth Fund
2016-17,"26,626","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,"Strong Agriculture, Food And Bio-Product Sectors And Strong Rural Communities",Research,,Supplies and equipment,
2016-17,"34,576","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,"Strong Agriculture, Food And Bio-Product Sectors And Strong Rural Communities",Research,,Transportation and communication,
2016-17,"260,685","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,"Strong Agriculture, Food And Bio-Product Sectors And Strong Rural Communities",Research,,Employee benefits,
2016-17,"480,687","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,"Strong Agriculture, Food And Bio-Product Sectors And Strong Rural Communities",Research,,Services,
2016-17,"67,075,489","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,"Strong Agriculture, Food And Bio-Product Sectors And Strong Rural Communities",Research,,Transfer Payments,University of Guelph
2016-17,"500,000","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,"Strong Agriculture, Food And Bio-Product Sectors And Strong Rural Communities",Research,,Transfer Payments,Food Safety Research
2016-17,"750,000","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,"Strong Agriculture, Food And Bio-Product Sectors And Strong Rural Communities",Research,,Transfer Payments,Grants in Lieu of Taxes
2016-17,"1,350,000","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,"Strong Agriculture, Food And Bio-Product Sectors And Strong Rural Communities",Research,,Transfer Payments,Competitive Research
2016-17,"1,960,528","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,"Strong Agriculture, Food And Bio-Product Sectors And Strong Rural Communities",Research,,Salaries and wages,
2016-17,"3,180,000","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,"Strong Agriculture, Food And Bio-Product Sectors And Strong Rural Communities",Research,,Transfer Payments,Growing Forward - Federal - Research
2016-17,"6,007,000","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,"Strong Agriculture, Food And Bio-Product Sectors And Strong Rural Communities",Research,,Transfer Payments,Strategic Partnerships
2016-17,"913,475","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,"Strong Agriculture, Food And Bio-Product Sectors And Strong Rural Communities",Statutory Appropriations,,Other Transactions,"Bad Debt Expense, the Financial Administration Act"
2016-17,"137,550","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,Policy Development,Policy Development,,Supplies and equipment,
2016-17,"434,416","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,Policy Development,Policy Development,,Transportation and communication,
2016-17,"1,608,247","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,Policy Development,Policy Development,,Employee benefits,
2016-17,"3,047,330","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,Policy Development,Policy Development,,Services,
2016-17,"11,891,083","Ministry Of Agriculture, Food And Rural Affairs",Operating Expense,Policy Development,Policy Development,,Salaries and wages,
2016-17,"27,906","Ministry Of Citizenship, Immigration And International Trade",Operating Expense,Ontario Women's Directorate Program,Ontario Women's Directorate,,Supplies and equipment,
2016-17,"108,862","Ministry Of Citizenship, Immigration And International Trade",Operating Expense,Ontario Women's Directorate Program,Ontario Women's Directorate,,Transportation and communication,
2016-17,"402,889","Ministry Of Citizenship, Immigration And International Trade",Operating Expense,Ontario Women's Directorate Program,Ontario Women's Directorate,,Employee benefits,
2016-17,"747,814","Ministry Of Citizenship, Immigration And International Trade",Operating Expense,Ontario Women's Directorate Program,Ontario Women's Directorate,,Services,
2016-17,"2,756,028","Ministry Of Citizenship, Immigration And International Trade",Operating Expense,Ontario Women's Directorate Program,Ontario Women's Directorate,,Salaries and wages,
2016-17,"6,961,422","Ministry Of Citizenship, Immigration And International Trade",Operating Expense,Ontario Women's Directorate Program,Ontario Women's Directorate,,Transfer Payments,Economic Independence Initiatives
2016-17,"11,559,942","Ministry Of Citizenship, Immigration And International Trade",Operating Expense,Ontario Women's Directorate Program,Ontario Women's Directorate,,Transfer Payments,Violence Prevention Initiatives
2016-17,"15,360","Ministry Of Citizenship, Immigration And International Trade",Operating Expense,Ontario Seniors' Secretariat,Ontario Seniors' Secretariat,,Supplies and equipment,
2016-17,"35,137","Ministry Of Citizenship, Immigration And International Trade",Operating Expense,Ontario Seniors' Secretariat,Ontario Seniors' Secretariat,,Transportation and communication,
2016-17,"347,714","Ministry Of Citizenship, Immigration And International Trade",Operating Expense,Ontario Seniors' Secretariat,Ontario Seniors' Secretariat,,Employee benefits,
2016-17,"817,042","Ministry Of Citizenship, Immigration And International Trade",Operating Expense,Ontario Seniors' Secretariat,Ontario Seniors' Secretariat,,Services,
2016-17,"2,151,809","Ministry Of Citizenship, Immigration And International Trade",Operating Expense,Ontario Seniors' Secretariat,Ontario Seniors' Secretariat,,Salaries and wages,
2016-17,"16,035,940","Ministry Of Citizenship, Immigration And International Trade",Operating Expense,Ontario Seniors' Secretariat,Ontario Seniors' Secretariat,,Transfer Payments,Seniors' Secretariat Initiatives
2016-17,"414,507",Ministry Of Community Safety And Correctional Services,Operating Expense,Public Safety Division,Centre of Forensic Sciences,,Transportation and communication,
2016-17,"2,930,202",Ministry Of Community Safety And Correctional Services,Operating Expense,Public Safety Division,Centre of Forensic Sciences,,Employee benefits,
2016-17,"2,996,037",Ministry Of Community Safety And Correctional Services,Operating Expense,Public Safety Division,Centre of Forensic Sciences,,Services,
2016-17,"3,086,436",Ministry Of Community Safety And Correctional Services,Operating Expense,Public Safety Division,Centre of Forensic Sciences,,Supplies and equipment,
2016-17,"18,104,815",Ministry Of Community Safety And Correctional Services,Operating Expense,Public Safety Division,Centre of Forensic Sciences,,Salaries and wages,
2016-17,"-3,481,418",Ministry Of Community Safety And Correctional Services,Operating Expense,Public Safety Division,External Relations Branch,,Recoveries,
2016-17,"168,750",Ministry Of Community Safety And Correctional Services,Operating Expense,Public Safety Division,External Relations Branch,,Transfer Payments,Ontario Association of Crime Stoppers
2016-17,"199,511",Ministry Of Community Safety And Correctional Services,Operating Expense,Public Safety Division,External Relations Branch,,Transfer Payments,Municipal Hate Crime Extremism Investigative Funding
2016-17,"351,904",Ministry Of Community Safety And Correctional Services,Operating Expense,Public Safety Division,External Relations Branch,,Supplies and equipment,
2016-17,"819,930",Ministry Of Community Safety And Correctional Services,Operating Expense,Public Safety Division,External Relations Branch,,Employee benefits,
2016-17,"832,824",Ministry Of Community Safety And Correctional Services,Operating Expense,Public Safety Division,External Relations Branch,,Transfer Payments,Safer and Vital Communities Grant
2016-17,"2,217,321",Ministry Of Community Safety And Correctional Services,Operating Expense,Public Safety Division,External Relations Branch,,Transfer Payments,Grants for Municipal Reduce Impaired Driving Everywhere (RIDE) Programs
2016-17,"2,547,339",Ministry Of Community Safety And Correctional Services,Operating Expense,Public Safety Division,External Relations Branch,,Transportation and communication,
2016-17,"4,712,774",Ministry Of Community Safety And Correctional Services,Operating Expense,Public Safety Division,External Relations Branch,,Services,
2016-17,"5,360,837",Ministry Of Community Safety And Correctional Services,Operating Expense,Public Safety Division,External Relations Branch,,Salaries and wages,
2016-17,"5,500,000",Ministry Of Community Safety And Correctional Services,Operating Expense,Public Safety Division,External Relations Branch,,Transfer Payments,Grants for Public Safety
2016-17,"11,314,238",Ministry Of Community Safety And Correctional Services,Operating Expense,Public Safety Division,External Relations Branch,,Transfer Payments,Miscellaneous Grants - Policing Services
2016-17,"30,450,000",Ministry Of Community Safety And Correctional Services,Operating Expense,Public Safety Division,External Relations Branch,,Transfer Payments,Grants for Community Policing and Crime Prevention
2016-17,"38,196,776",Ministry Of Community Safety And Correctional Services,Operating Expense,Public Safety Division,External Relations Branch,,Transfer Payments,"Safer Communities 1,000 Officers Partnership"
2016-17,"51,314,551",Ministry Of Community Safety And Correctional Services,Operating Expense,Public Safety Division,External Relations Branch,,Transfer Payments,Federal-Provincial First Nations Policing Agreement
2016-17,"93,735,137",Ministry Of Community Safety And Correctional Services,Operating Expense,Public Safety Division,External Relations Branch,,Transfer Payments,Court Security
2016-17,"11,819",Ministry Of Community Safety And Correctional Services,Operating Expense,Public Safety Division,Private Security and Investigative Services,,Supplies and equipment,
2016-17,"36,471",Ministry Of Community Safety And Correctional Services,Operating Expense,Public Safety Division,Private Security and Investigative Services,,Transportation and communication,
2016-17,"218,423",Ministry Of Community Safety And Correctional Services,Operating Expense,Public Safety Division,Private Security and Investigative Services,,Employee benefits,
2016-17,"618,131",Ministry Of Community Safety And Correctional Services,Operating Expense,Public Safety Division,Private Security and Investigative Services,,Services,
2016-17,"1,340,943",Ministry Of Community Safety And Correctional Services,Operating Expense,Public Safety Division,Private Security and Investigative Services,,Salaries and wages,
2016-17,"3,513",Ministry Of Community Safety And Correctional Services,Operating Expense,Public Safety Division,Public Safety Division – Office of the Assistant Deputy Minister,,Supplies and equipment,
2016-17,"30,380",Ministry Of Community Safety And Correctional Services,Operating Expense,Public Safety Division,Public Safety Division – Office of the Assistant Deputy Minister,,Transportation and communication,
2016-17,"34,008",Ministry Of Community Safety And Correctional Services,Operating Expense,Public Safety Division,Public Safety Division – Office of the Assistant Deputy Minister,,Services,
2016-17,"74,054",Office Of The Assembly,Operating Expense,Commission(Er)'S Program,Environmental Commissioner,,Transportation and communication,
2016-17,"110,565",Office Of The Assembly,Operating Expense,Commission(Er)'S Program,Environmental Commissioner,,Supplies and equipment,
2016-17,"544,139",Office Of The Assembly,Operating Expense,Commission(Er)'S Program,Environmental Commissioner,,Employee benefits,
2016-17,"954,782",Office Of The Assembly,Operating Expense,Commission(Er)'S Program,Environmental Commissioner,,Services,
2016-17,"2,047,262",Office Of The Assembly,Operating Expense,Commission(Er)'S Program,Environmental Commissioner,,Salaries and wages,
2016-17,"21,441",Office Of The Assembly,Operating Expense,Commission(Er)'S Program,Financial Accountability Officer,,Transportation and communication,
2016-17,"56,181",Office Of The Assembly,Operating Expense,Commission(Er)'S Program,Financial Accountability Officer,,Supplies and equipment,
2016-17,"278,298",Office Of The Assembly,Operating Expense,Commission(Er)'S Program,Financial Accountability Officer,,Employee benefits,
2016-17,"510,091",Office Of The Assembly,Operating Expense,Commission(Er)'S Program,Financial Accountability Officer,,Services,
2016-17,"1,749,177",Office Of The Assembly,Operating Expense,Commission(Er)'S Program,Financial Accountability Officer,,Salaries and wages,
2016-17,"97,819",Office Of The Assembly,Operating Expense,Commission(Er)'S Program,Office of the French Language Services Commissioner,,Transportation and communication,
2016-17,"231,908",Office Of The Assembly,Operating Expense,Commission(Er)'S Program,Office of the French Language Services Commissioner,,Employee benefits,
2016-17,"309,507",Office Of The Assembly,Operating Expense,Commission(Er)'S Program,Office of the French Language Services Commissioner,,Supplies and equipment,
2016-17,"1,169,578",Office Of The Assembly,Operating Expense,Commission(Er)'S Program,Office of the French Language Services Commissioner,,Salaries and wages,
2016-17,"1,388,820",Office Of The Assembly,Operating Expense,Commission(Er)'S Program,Office of the French Language Services Commissioner,,Services,
2016-17,"165,348",Office Of The Assembly,Operating Expense,Commission(Er)'S Program,Office of the Information and Privacy Commissioner,,Transportation and communication,
2016-17,"247,039",Office Of The Assembly,Operating Expense,Commission(Er)'S Program,Office of the Information and Privacy Commissioner,,Supplies and equipment,
2016-17,"2,078,290",Office Of The Assembly,Operating Expense,Commission(Er)'S Program,Office of the Information and Privacy Commissioner,,Employee benefits,
2016-17,"2,353,714",Office Of The Assembly,Operating Expense,Commission(Er)'S Program,Office of the Information and Privacy Commissioner,,Services,
2016-17,"10,447,365",Office Of The Assembly,Operating Expense,Commission(Er)'S Program,Office of the Information and Privacy Commissioner,,Salaries and wages,
2016-17,"36,216",Office Of The Assembly,Operating Expense,Commission(Er)'S Program,Office of the Integrity Commissioner,,Supplies and equipment,
2016-17,"53,628",Office Of The Assembly,Operating Expense,Commission(Er)'S Program,Office of the Integrity Commissioner,,Transportation and communication,
2016-17,"350,914",Office Of The Assembly,Operating Expense,Commission(Er)'S Program,Office of the Integrity Commissioner,,Employee benefits,
2016-17,"503,820",Office Of The Assembly,Operating Expense,Commission(Er)'S Program,Office of the Integrity Commissioner,,Services,
2016-17,"1,420,055",Office Of The Assembly,Operating Expense,Commission(Er)'S Program,Office of the Integrity Commissioner,,Salaries and wages,
2016-17,"179,557",Office Of The Assembly,Operating Expense,Commission(Er)'S Program,Office of the Provincial Advocate for Children and Youth,,Supplies and equipment,
2016-17,"1,000,552",Office Of The Assembly,Operating Expense,Commission(Er)'S Program,Office of the Provincial Advocate for Children and Youth,,Employee benefits,
2016-17,"1,291,193",Office Of The Assembly,Operating Expense,Commission(Er)'S Program,Office of the Provincial Advocate for Children and Youth,,Transportation and communication,
2016-17,"3,168,986",Office Of The Assembly,Operating Expense,Commission(Er)'S Program,Office of the Provincial Advocate for Children and Youth,,Services,
2016-17,"4,957,977",Office Of The Assembly,Operating Expense,Commission(Er)'S Program,Office of the Provincial Advocate for Children and Youth,,Salaries and wages,
2016-17,"169,960,847",Ministry Of The Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Accommodation - Lease Costs,Services,
2016-17,"1,771,260",Ministry Of The Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Audit Services,Services,
2016-17,"34,570",Ministry Of The Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Business Planning,Supplies and equipment,
2016-17,"47,147",Ministry Of The Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Business Planning,Transportation and communication,
2016-17,"670,669",Ministry Of The Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Business Planning,Employee benefits,
2016-17,"1,564,883",Ministry Of The Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Business Planning,Services,
2016-17,"4,717,920",Ministry Of The Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Business Planning,Salaries and wages,
2016-17,"31,326",Ministry Of The Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Supplies and equipment,
2016-17,"38,721",Ministry Of The Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Transportation and communication,
2016-17,"269,721",Ministry Of The Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Services,
2016-17,"318,586",Ministry Of The Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Employee benefits,
2016-17,"2,167,136",Ministry Of The Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and wages,
2016-17,"10,766",Ministry Of The Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Facilities Services,Supplies and equipment,
2016-17,"81,163",Ministry Of The Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Facilities Services,Transportation and communication,
2016-17,"230,230",Ministry Of The Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Facilities Services,Services,
2016-17,"404,907",Ministry Of The Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Facilities Services,Employee benefits,
2016-17,"2,823,547",Ministry Of The Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Facilities Services,Salaries and wages,
2016-17,"6,605",Ministry Of The Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Freedom of Information and Privacy,Supplies and equipment,
2016-17,"8,051",Ministry Of The Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Freedom of Information and Privacy,Transportation and communication,
