Year,Amount $,Ministry Name (Level 1),Expenditure Category (Operating / Capital) (Level 2),Program Name (Level 3),Activity / Item (Level 4),Sub Item (Level 5),Standard Account (Expense/Asset Name) (Level 6),"Account Details (Expense/Asset Details) 
(Level 7)"
2018-19,"-19,084,538",Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,"Statutory Appropriations - Prior Period Obligations and Actuarial Adjustments, the Financial Administration Act",No Value,Employee benefits,Vacation Pay and Compensated Absences
2018-19,"-18,781,345",Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,"Statutory Appropriations - Prior Period Obligations and Actuarial Adjustments, the Financial Administration Act",No Value,Employee benefits,Legislative Severance
2018-19,"-15,971,719",Transportation,Capital Expense,Ministry Administration Program,Statutory Appropriations,No Value,Recoveries,No Value
2018-19,"-15,438,406",Transportation,Capital Expense,Provincial Highways Management Program,Engineering and Construction,Transfer Payments and Other Highway Expenditures,Recoveries,No Value
2018-19,"-15,401,391",Finance,Operating Expense,Treasury Program,"Statutory Appropriations - Interest on debt, the Financial Administration Act",No Value,Other transactions,"Less: Other Interest, exchange, discount and commission"
2018-19,"-12,623,404",Government and Consumer Services,Operating Expense,ServiceOntario Program,ServiceOntario,No Value,Recoveries,No Value
2018-19,"-11,545,424",Education,Operating Expense,Elementary and Secondary Education Program,Policy and Program Delivery,No Value,Recoveries,No Value
2018-19,"-9,966,000",Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,"Statutory Appropriations - Prior Period Obligations and Actuarial Adjustments, the Financial Administration Act",No Value,Employee benefits,Group Life Insurance
2018-19,"-9,479,959",Finance,Operating Expense,Financial Services Industry Regulation Program,Motor Vehicle Accident Claims Fund,No Value,Recoveries,No Value
2018-19,"-8,518,681",Government and Consumer Services,Operating Expense,"Information, Privacy and Archives Program","Information, Privacy and Archives",No Value,Recoveries,No Value
2018-19,"-7,221,671",Infrastructure,Capital Expense,Infrastructure Policy and Planning,Infrastructure Programs,No Value,Recoveries,No Value
2018-19,"-7,179,669",Municipal Affairs / Housing,Operating Expense,Affordable Housing Program,Social and Market Housing,No Value,Recoveries,No Value
2018-19,"-6,972,896",Natural Resources and Forestry,Operating Expense,Natural Resource Management Program,Sustainable Resource Management,"Provincial Services, Science and Research",Recoveries,No Value
2018-19,"-6,856,600",Transportation,Operating Expense,Road User Safety Program,Road User Safety,No Value,Recoveries,No Value
2018-19,"-6,560,314",Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Operational Support,No Value,Recoveries,No Value
2018-19,"-6,174,581",Transportation,Operating Expense,Labour and Transportation Cluster,Other Ministry Recoveries,No Value,Recoveries,No Value
2018-19,"-6,106,769",Northern Development and Mines,Operating Expense,Northern Development Program,Northern Economic Development,No Value,Recoveries,No Value
2018-19,"-5,481,889",Natural Resources and Forestry,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Recoveries,No Value
2018-19,"-5,117,398",Northern Development and Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Recoveries,No Value
2018-19,"-4,759,965",Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,"Statutory Appropriations - Prior Period Obligations and Actuarial Adjustments, the Financial Administration Act",No Value,Employee benefits,Other Benefits
2018-19,"-4,684,482",Natural Resources and Forestry,Operating Expense,Natural Resource Management Program,Sustainable Resource Management,Mapping and Geographic Information,Recoveries,No Value
2018-19,"-4,364,893",Natural Resources and Forestry,Operating Expense,Natural Resource Management Program,Greenhouse Gas Reduction Initiatives,No Value,Recoveries,No Value
2018-19,"-4,268,890",Treasury Board Secretariat,Operating Expense,Employee and Pensioner Benefits (Employer Share) Program,"Statutory Appropriations - Prior Period Obligations and Actuarial Adjustments, the Financial Administration Act",No Value,Employee benefits,Provincial Judges' Benefits Fund
2018-19,"-4,250,600",Education,Operating Expense,Ministry Administration Program,Financial and Administrative Services,Financial and Administrative Services,Recoveries,Recoveries
2018-19,"-3,163,317",Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Fleet Management,No Value,Recoveries,No Value
2018-19,"-3,109,400",Indigenous Relations and Reconciliation,Operating Expense,Indigenous Relations and Reconciliation Program,Indigenous Relations and Reconciliation,No Value,Recoveries,No Value
2018-19,"-3,105,753",Finance,Operating Expense,"Tax, Benefits and Local Finance Program ",Tax and Benefits Administration ,Tax Compliance and Benefits,Recoveries,No Value
2018-19,"-2,583,050",Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Investigations and Organized Crime,No Value,Recoveries,No Value
2018-19,"-2,481,558",Natural Resources and Forestry,Operating Expense,Public Protection,Public Protection,Emergency Fire Fighting,Recoveries,No Value
2018-19,"-2,479,955",Natural Resources and Forestry,Capital Expense,Natural Resource Management Program,Infrastructure for Natural Resource Management,Regional Operations,Recoveries,No Value
2018-19,"-2,393,700",Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Recoveries,No Value
2018-19,"-2,369,380",Treasury Board Secretariat,Operating Expense,Treasury Board Support Program,Treasury Board Support and Financial Planning,Office of the Provincial Controller,Recoveries,No Value
2018-19,"-2,354,047","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,No Value,Recoveries,No Value
2018-19,"-2,320,938","Economic Development and Growth / Research, Innovation and Science",Operating Expense,"Research, Innovation and Science Program","Research, Innovation and Science",Greenhouse Gas Reduction Programs,Recoveries,No Value
2018-19,"-2,000,906",Attorney General,Operating Expense,Legal Services Program,Legislative Counsel Services,No Value,Recoveries,No Value
2018-19,"-1,962,589",Labour,Operating Expense,Labour Relations Program,Grievance Settlement Board,No Value,Recoveries,No Value
2018-19,"-1,917,109",Community Safety and Correctional Services,Operating Expense,Public Safety Division,External Relations Branch,No Value,Recoveries,No Value
2018-19,"-1,737,262",Treasury Board Secretariat,Operating Expense,Labour Relations and Compensation,Labour Relations and Compensation,No Value,Recoveries,No Value
2018-19,"-1,429,293","Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment ,Better Public Health and Environment ,No Value,Recoveries,No Value
2018-19,"-1,290,700",Education,Operating Expense,Ministry Administration Program,Human Resources,Human Resources,Recoveries,Recoveries
2018-19,"-1,223,000",Education,Operating Expense,Ministry Administration Program,Legal Services,Legal Services,Recoveries,Recoveries
2018-19,"-1,218,399",Community Safety and Correctional Services,Operating Expense,Ontario Provincial Police,Corporate and Strategic Services,No Value,Recoveries,No Value
2018-19,"-1,204,697",Natural Resources and Forestry,Operating Expense,Natural Resource Management Program,Sustainable Resource Management,Regional Operations,Recoveries,No Value
2018-19,"-1,087,950",Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Recoveries,No Value
2018-19,"-1,078,890",Ombudsman Ontario,Operating Expense,Ombudsman Ontario Program,The Ombudsman,No Value,Recoveries,No Value
2018-19,"-829,750",Finance,Capital Expense,Financial Services Industry Regulation Program,Statutory Appropriations,No Value,Recoveries,No Value
2018-19,"-723,790",Advanced Education and Skills Development,Operating Expense,Postsecondary Education Program,"Colleges, Universities and Student Support",No Value,Recoveries,No Value
2018-19,"-625,493",Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Information Systems,Recoveries,No Value
2018-19,"-553,796",Northern Development and Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Information Systems,Recoveries,No Value
2018-19,"-480,785",Government and Consumer Services,Capital Expense,Ontario Shared Services Program,Statutory Appropriations,No Value,Recoveries,No Value
2018-19,"-395,500",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,"Safety, Licensing Appeals and Standards Tribunals Ontario",Recoveries,No Value
2018-19,"-250,000",Community Safety and Correctional Services,Operating Expense,Public Safety Training,Public Safety Training,Business Support,Recoveries,No Value
2018-19,"-232,070",Finance,Operating Expense,Regulatory Policy and Agency Relations Program,Government Business Enterprise ,Alcohol and Cannabis Policy ,Recoveries,No Value
2018-19,"-180,000",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Agency Relations/Program Management,Recoveries,No Value
2018-19,"-167,685",Government and Consumer Services,Capital Expense,Government Services Integration Cluster,Statutory Appropriations,No Value,Recoveries,No Value
2018-19,"-162,961",Finance,Operating Expense,Financial Services Industry Regulation Program,Financial Services Tribunal ,No Value,Recoveries,No Value
2018-19,"-142,763","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Sergeant at Arms and Precinct Properties,No Value,Recoveries,No Value
2018-19,"-139,326",Transportation,Operating Expense,Provincial Highways Management Program,Operations and Maintenance,Remote Aviation,Recoveries,No Value
2018-19,"-138,879",Treasury Board Secretariat,Operating Expense,Treasury Board Support Program,Treasury Board Support and Financial Planning,Planning and Performance,Recoveries,No Value
2018-19,"-134,986",Attorney General,Operating Expense,Victims and Vulnerable Persons Program,Vulnerable Persons ,Children's Lawyer,Recoveries,No Value
2018-19,"-134,562","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Administrative Services,No Value,Recoveries,No Value
2018-19,"-132,411","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Legislative Services,No Value,Recoveries,No Value
2018-19,"-131,976",Education,Operating Expense,Elementary and Secondary Education Program,Educational Operations,No Value,Recoveries,No Value
2018-19,"-107,986","Tourism, Culture and Sport",Operating Expense,"Sport, Recreation and Community Programs","Sport, Recreation and Community ",No Value,Recoveries,No Value
2018-19,"-90,369",Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Audit Services,Recoveries,No Value
2018-19,"-68,308",Environment and Climate Change,Operating Expense,Environmental Compliance and Operations ,Environmental Compliance and Enforcement ,No Value,Recoveries,No Value
2018-19,"-56,068","Chief Electoral Officer, Office of the",Operating Expense,Office of the Chief Electoral Officer Program,Election Finances Administration,No Value,Recoveries,No Value
2018-19,"-43,919",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,French Language Services,Recoveries,No Value
2018-19,"-34,000",Environment and Climate Change,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Recoveries,No Value
2018-19,"-31,920",Transportation,Operating Expense,Ministry Administration Program,Business Support,Financial and Administrative Services,Supplies and equipment,No Value
2018-19,"-23,922",Accessibility Directorate of Ontario,Operating Expense,Accessibility Directorate of Ontario,Accessibility Directorate of Ontario,No Value,Recoveries,No Value 
2018-19,"-19,869",Northern Development and Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Information Systems,Transportation and communication,No Value
2018-19,"-18,061",Health and Long-Term Care,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Recoveries,No Value
2018-19,-280,"Assembly, Office of the",Operating Expense,Office of the Assembly Program,Information and Technology Services,No Value,Recoveries,No Value
2018-19,-220,Citizenship and Immigration,Operating Expense,Ministry Administration Program,Ministry Administration,No Value,Services,No Value
2018-19,2,Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Employee benefits,No Value
2018-19,4,"Economic Development and Growth / Research, Innovation and Science",Operating Expense,Ministry Administration Program,Ministry Administration,Planning and Finance,Other transactions,No Value
2018-19,49,"Assembly, Office of the",Operating Expense,Office of the Assembly Program,Office of the Speaker,No Value,Employee benefits,No Value
2018-19,71,Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Employee benefits,No Value
2018-19,119,Labour,Operating Expense,Pay Equity Commission Program,Pay Equity Hearings Tribunal,No Value,Supplies and equipment,No Value
2018-19,220,Citizenship and Immigration,Operating Expense,Ministry Administration Program,Ministry Administration,No Value,Salaries and wages,No Value
2018-19,226,Citizenship and Immigration,Operating Expense,Ministry Administration Program,Ministry Administration,Information Systems,Transportation and communication,No Value
2018-19,500,Transportation,Capital Expense,Provincial Highways Management Program,Highway Work-In-Progress,Windsor Border Initiatives Implementation Group,Services,No Value
2018-19,579,Labour,Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Other transactions,"Bad Debt Expense, the Financial Administration Act"
2018-19,637,Finance,Operating Expense,Regulatory Policy and Agency Relations Program,Government Business Enterprise ,Gaming Policy ,Supplies and equipment,No Value
2018-19,661,Infrastructure,Operating Expense,Ministry Administration,Ministry Administration,Legal Services,Transportation and communication,No Value
2018-19,681,Natural Resources and Forestry,Operating Expense,Public Protection,Public Protection,Public Safety and Emergency Response,Other transactions,No Value
2018-19,735,Education,Operating Expense,Ministry Administration Program,Audit Service ,Audit Service ,Transportation and communication,No Value
2018-19,767,Citizenship and Immigration,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Policy and Planning,Supplies and equipment,No Value
2018-19,906,Cabinet Office,Operating Expense,Cabinet Office Program,Government House Leader,No Value,Supplies and equipment,No Value
2018-19,914,Labour,Operating Expense,Labour Relations Program,Ontario Skilled Trades ,No Value,Supplies and equipment,No Value
2018-19,961,Government and Consumer Services,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Supplies and equipment,No Value
2018-19,980,Community Safety and Correctional Services,Operating Expense,"Agencies, Boards and Commissions Program","Agencies, Boards and Commissions",Death Investigation Oversight Council,Supplies and equipment,No Value
2018-19,980,Infrastructure,Operating Expense,Ministry Administration,Ministry Administration,Legal Services,Supplies and equipment,No Value
2018-19,"1,074",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,French Language Services,Supplies and equipment,No Value
2018-19,"1,296",Community Safety and Correctional Services,Operating Expense,"Agencies, Boards and Commissions Program","Agencies, Boards and Commissions",Ontario Police Arbitration Commission,Supplies and equipment,No Value
2018-19,"1,419",Finance,Operating Expense,Regulatory Policy and Agency Relations Program,Government Business Enterprise ,Alcohol and Cannabis Policy ,Supplies and equipment,No Value
2018-19,"1,434",Cabinet Office,Operating Expense,Cabinet Office Program,Government House Leader,No Value,Transportation and communication,No Value
2018-19,"1,550",Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Information Systems,Transportation and communication,No Value
2018-19,"1,560",Children and Youth Services,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Services,No Value
2018-19,"1,569",Finance,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Supplies and equipment,No Value
2018-19,"1,582",Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Transportation and communication,No Value
2018-19,"1,665",Seniors Affairs,Operating Expense,Ministry Administration,Ministry Administration,No Value,Transportation and communication,No Value
2018-19,"1,667",Labour,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Supplies and equipment,No Value
2018-19,"1,749",Education,Operating Expense,Ministry Administration Program,Legal Services,Legal Services,Employee benefits,Employee benefits
2018-19,"1,790",Transportation,Capital Expense,Provincial Highways Management Program,Highway Work-In-Progress,Windsor Border Initiatives Implementation Group,Transportation and communication,No Value
2018-19,"1,801",Citizenship and Immigration,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Supplies and equipment,No Value
2018-19,"1,827",Community Safety and Correctional Services,Operating Expense,Public Safety Division,Public Safety Division – Office of the Assistant Deputy Minister,No Value,Supplies and equipment,No Value
2018-19,"1,851",Community Safety and Correctional Services,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Employee benefits,No Value
2018-19,"1,967",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Supplies and equipment,No Value
2018-19,"2,103",Northern Development and Mines,Capital Expense,Mines and Minerals Program,Mineral Sector Competitiveness,No Value,Transportation and communication,No Value
2018-19,"2,191",Treasury Board Secretariat,Operating Expense,"Agencies, Boards and Commissions Program",Conflict of Interest Commissioner,No Value,Supplies and equipment,No Value
2018-19,"2,272",Environment and Climate Change,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Supplies and equipment,No Value
2018-19,"2,349",Labour,Operating Expense,Pay Equity Commission Program,Pay Equity Hearings Tribunal,No Value,Transportation and communication,No Value
2018-19,"2,356",Children and Youth Services,Operating Expense,Ministry Administration Program,Ministry Administration,"Executive Offices (Minister's Office, Deputy Minister's Office)",Supplies and equipment,No Value
2018-19,"2,482",Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Supplies and equipment,No Value
2018-19,"2,541",Community and Social Services,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Supplies and equipment,No Value
2018-19,"2,694",Northern Development and Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Supplies and equipment,No Value
2018-19,"2,838",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Freedom of Information and Privacy,Transportation and communication,No Value
2018-19,"3,145",Labour,Operating Expense,Ministry Administration Program,Ministry Administration,Strategic Human Resources,Supplies and equipment,No Value
2018-19,"3,256",Municipal Affairs / Housing,Operating Expense,Affordable Housing Program,Residential Tenancy,No Value,Supplies and equipment,No Value
2018-19,"3,277",Seniors Affairs,Operating Expense,Ministry Administration,Ministry Administration,No Value,Supplies and equipment,No Value
2018-19,"3,294",Infrastructure,Operating Expense,Ministry Administration,Ministry Administration,Main Office,Supplies and equipment,No Value
2018-19,"3,321",Advanced Education and Skills Development,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Supplies and equipment,No Value
2018-19,"3,462",Francophone Affairs,Operating Expense,Francophone Affairs Program,Francophone Affairs Co-ordination,No Value,Supplies and equipment,No Value
2018-19,"3,463","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,,Audit Services,Transportation and communication,No Value
2018-19,"3,502",Northern Development and Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Analysis and Planning,Supplies and equipment,No Value
2018-19,"3,539",Citizenship and Immigration,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Supplies and equipment,No Value
2018-19,"3,570",Community and Social Services,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Salaries and wages,No Value
2018-19,"3,628",Finance,Operating Expense,Regulatory Policy and Agency Relations Program,Government Business Enterprise ,Investment and Governance ,Supplies and equipment,No Value
2018-19,"3,706",Community Safety and Correctional Services,Operating Expense,Public Safety Division,Private Security and Investigative Services,No Value,Supplies and equipment,No Value
2018-19,"3,838",Labour,Operating Expense,Labour Relations Program,Grievance Settlement Board,No Value,Supplies and equipment,No Value
2018-19,"4,074",Citizenship and Immigration,Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Salaries and wages,"Parliamentary Assistant's Salary, the Executive Council Act"
2018-19,"4,075",International Trade,Operating Expense,Ministry Administration,Statutory Appropriations,No Value,Salaries and wages,"Parliamentary Assistant's Salary, the Executive Council Act"
2018-19,"4,312","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,,Business Planning and Financial Services,Supplies and equipment,No Value
2018-19,"4,412",Community Safety and Correctional Services,Operating Expense,Public Safety Training,Public Safety Training,Business Support,Supplies and equipment,No Value
2018-19,"4,425",Children and Youth Services,Operating Expense,Children and Youth Services Program,Children and Youth at Risk,Child and Youth Mental Health,Transfer payments,Child and Youth Mental Health Payments in Lieu of Municipal Taxes
2018-19,"4,448",Northern Development and Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Supplies and equipment,No Value
2018-19,"4,490",Advanced Education and Skills Development,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Supplies and equipment,No Value
2018-19,"4,521","Economic Development and Growth / Research, Innovation and Science",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Supplies and equipment,No Value
2018-19,"4,556",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Freedom of Information and Privacy,Supplies and equipment,No Value
2018-19,"4,804",Citizenship and Immigration,Operating Expense,Office of the Fairness Commissioner,Office of the Fairness Commissioner,No Value,Supplies and equipment,No Value
2018-19,"5,017",Environment and Climate Change,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Supplies and equipment,No Value
2018-19,"5,047",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,French Language Services,Transportation and communication,No Value
2018-19,"5,108",Infrastructure,Operating Expense,Infrastructure Policy and Planning,Infrastructure Policy and Planning,Infrastructure Research and Planning,Supplies and equipment,No Value
2018-19,"5,325",Infrastructure,Operating Expense,Government Infrastructure Projects,Government Infrastructure Projects,No Value,Supplies and equipment,No Value
2018-19,"5,361",Environment and Climate Change,Operating Expense,Environmental Compliance and Operations ,Indigenous Drinking Water Program ,No Value,Supplies and equipment,No Value
2018-19,"5,370",Infrastructure,Operating Expense,Ministry Administration,Ministry Administration,Communications Services,Supplies and equipment,No Value
2018-19,"5,495",Community and Social Services,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Supplies and equipment,No Value
2018-19,"5,575",Infrastructure,Operating Expense,Ministry Administration,Ministry Administration,Planning and Finance,Transportation and communication,No Value
2018-19,"5,600",Labour,Operating Expense,Occupational Health and Safety Program,Workplace Safety and Insurance Advisory Program Administration,No Value,Services,No Value
2018-19,"5,652",Government and Consumer Services,Operating Expense,ServiceOntario Program,Statutory Appropriations,No Value,Other transactions,"Bad Debt Expense, the Financial Administration Act"
2018-19,"5,680",Citizenship and Immigration,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Supplies and equipment,No Value
2018-19,"5,749",Treasury Board Secretariat,Operating Expense,"Agencies, Boards and Commissions Program",Conflict of Interest Commissioner,No Value,Transportation and communication,No Value
2018-19,"5,911",Education,Operating Expense,Ministry Administration Program,Human Resources,Human Resources,Supplies and equipment,Supplies and equipment
2018-19,"5,977",Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Supplies and equipment,No Value
2018-19,"6,000",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Supplies and equipment,No Value
2018-19,"6,044",Municipal Affairs / Housing,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Supplies and equipment,No Value
2018-19,"6,100","Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment ,Better Public Health and Environment ,No Value,Transfer payments,Climate Change Action Plan
2018-19,"6,205",Labour,Operating Expense,Employment Rights and Responsibilities Program,Employment Standards,No Value,Transfer payments,Employment Practices
2018-19,"6,514",Northern Development and Mines,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Supplies and equipment,No Value
