Year,Amount $,Organization (Level 1),Budget category (Level 2),Program (Level 3),Program component (Level 4),Voted Item (Level 5),Expense type (Level 6),Expense Detail (Level 7)
2015-16,"446,100",Ministry of Aboriginal Affairs ,Operating Expense,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Transfer Payments,Ontario Federation of Indian Friendship Centres
2015-16,"371,700",Ministry of Aboriginal Affairs ,Operating Expense,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Transfer Payments,Ontario Native Women's Association
2015-16,"6,086,071",Ministry of Aboriginal Affairs ,Operating Expense,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Transfer Payments,Participation Fund
2015-16,"2,964,208",Ministry of Aboriginal Affairs ,Operating Expense,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Transfer Payments,"Policy Development Engagement Fund"
2015-16,"1,840,833",Ministry of Aboriginal Affairs ,Operating Expense,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Transfer Payments,"Support for Algonquin Negotiation Fund"
2015-16,"3,158,742",Ministry of Aboriginal Affairs ,Operating Expense,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Transfer Payments,"Support for Community Negotiations Fund"
2015-16,"18,750",Ministry of Aboriginal Affairs ,Operating Expense,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Transfer Payments,Urban Aboriginal Strategy
2015-16,"49,301",Ministry of Aboriginal Affairs ,Operating Expense,Ministry of Aboriginal Affairs,Minister's Salary,Statutory Appropriations,Salaries and Wages,
2015-16,"539,358",Ministry of Aboriginal Affairs ,Operating Expense,Ministry of Aboriginal Affairs,Ministry Administration,Ministry Administration,Employee Benefits,
2015-16,"4,050,811",Ministry of Aboriginal Affairs ,Operating Expense,Ministry of Aboriginal Affairs,Ministry Administration,Ministry Administration,Salaries and Wages,
2015-16,"6,417,785",Ministry of Aboriginal Affairs ,Operating Expense,Ministry of Aboriginal Affairs,Ministry Administration,Ministry Administration,Services,
2015-16,"96,485",Ministry of Aboriginal Affairs ,Operating Expense,Ministry of Aboriginal Affairs,Ministry Administration,Ministry Administration,Supplies and equipment,
2015-16,"297,797",Ministry of Aboriginal Affairs ,Operating Expense,Ministry of Aboriginal Affairs,Ministry Administration,Ministry Administration,Transportation and Communication,
2015-16,"1,465,641",Ministry of Aboriginal Affairs ,Operating Expense,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Employee Benefits,
2015-16,"9,403,800",Ministry of Aboriginal Affairs ,Operating Expense,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Salaries and Wages,
2015-16,"5,133,535",Ministry of Aboriginal Affairs ,Operating Expense,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Services,
2015-16,"104,487",Ministry of Aboriginal Affairs ,Operating Expense,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Supplies and equipment,
2015-16,"487,863",Ministry of Aboriginal Affairs ,Operating Expense,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Ministry of Aboriginal Affairs,Transportation and Communication,
2015-16,"16,667",Ministry of Aboriginal Affairs ,Operating Expense,Ministry of Aboriginal Affairs,Parliamentary Assistant's Salary,Statutory Appropriations,Salaries and Wages,
2015-16,"14,022,198","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Business Risk Management Transfers,Business Risk Management Transfers,Transfer Payments,Agricorp
2015-16,"6,667,000","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment,Better Public Health and Environment,Better Public Health and Environment,Transfer Payments,"Agricultural Drainage Infrastructure Program"
2015-16,"3,735,602","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,Economic Development,Transfer Payments,Agriculture Development
2015-16,"439,674","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment,Better Public Health and Environment,Better Public Health and Environment,Transfer Payments,"Agri-Environmental Standards Research"
2015-16,"500,000","Ministry of Agriculture, Food and Rural Affairs",Capital Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Agriculture and Rural Affairs Capital,Agriculture and Rural Affairs Capital,Transfer Payments,"Agri-Food and Animal Health Laboratory Infrastructure"
2015-16,"32,400,000","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Business Risk Management Transfers,Business Risk Management Transfers,Transfer Payments,AgriInsurance
2015-16,"22,727,760","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Business Risk Management Transfers,Business Risk Management Transfers,Transfer Payments,AgriInvest
2015-16,"29,303,760","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Business Risk Management Transfers,Business Risk Management Transfers,Transfer Payments,AgriStability
2015-16,"2,264,840","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Business Risk Management Transfers,Business Risk Management Transfers,Transfer Payments,"Beekeepers Financial Assistance Program"
2015-16,"15,470,734","Ministry of Agriculture, Food and Rural Affairs",Capital Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Agriculture and Rural Affairs Capital,Agriculture and Rural Affairs Capital,Transfer Payments,Building Canada Fund - Communities Component
2015-16,"15,470,737","Ministry of Agriculture, Food and Rural Affairs",Capital Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Agriculture and Rural Affairs Capital,Agriculture and Rural Affairs Capital,Transfer Payments,"Building Canada Fund - Communities Component - Federal Contribution"
2015-16,"1,350,000","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Research,Research,Transfer Payments,Competitive Research
2015-16,"1,496,645","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment,Better Public Health and Environment,Better Public Health and Environment,Transfer Payments,Environment Partnerships
2015-16,"10,145,000","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,Economic Development,Transfer Payments,Food Industry
2015-16,"500,000","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Research,Research,Transfer Payments,Food Safety Research
2015-16,"750,000","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Research,Research,Transfer Payments,Grants in Lieu of Taxes
2015-16,"4,036,847","Ministry of Agriculture, Food and Rural Affairs",Capital Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Agriculture and Rural Affairs Capital,Agriculture and Rural Affairs Capital,Transfer Payments,Green Infrastructure Fund
2015-16,"14,728,121","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment,Better Public Health and Environment,Better Public Health and Environment,Transfer Payments,"Growing Forward - Federal - Better Public Health and Environment"
2015-16,"19,190,710","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,Economic Development,Transfer Payments,Growing Forward - Federal - Economic Development
2015-16,"10,400,000","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Research,Research,Transfer Payments,Growing Forward - Federal - Research
2015-16,"100,000,000","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,Economic Development,Transfer Payments,"Horse Racing Partnership Funding Program"
2015-16,"700,584","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment,Better Public Health and Environment,Better Public Health and Environment,Transfer Payments,"Lake Simcoe Agri-Environmental Partnerships"
2015-16,"119,675,148","Ministry of Agriculture, Food and Rural Affairs",Capital Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Agriculture and Rural Affairs Capital,Agriculture and Rural Affairs Capital,Transfer Payments,Municipal Infrastructure
2015-16,"13,370,106","Ministry of Agriculture, Food and Rural Affairs",Capital Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Agriculture and Rural Affairs Capital,Agriculture and Rural Affairs Capital,Transfer Payments,New Building Canada Fund - Federal
2015-16,"13,765,546","Ministry of Agriculture, Food and Rural Affairs",Capital Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Agriculture and Rural Affairs Capital,Agriculture and Rural Affairs Capital,Transfer Payments,New Building Canada Fund - Provincial
2015-16,"57,437,039","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,Economic Development,Transfer Payments,"Ontario Ethanol Growth Fund"
2015-16,"121,350,000","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Business Risk Management Transfers,Business Risk Management Transfers,Transfer Payments,"Ontario Risk Management Program"
2015-16,"13,006,575","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,Economic Development,Transfer Payments,Ontario Wine Fund
2015-16,"1,412,769","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment,Better Public Health and Environment,Better Public Health and Environment,Transfer Payments,Other Assistance for Public Health
2015-16,"26,778","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Business Risk Management Transfers,Business Risk Management Transfers,Transfer Payments,"Other Assistance for Risk Management"
2015-16,"3,380,500","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,Economic Development,Transfer Payments,Other Assistance Rural
2015-16,"-615,184","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment,Better Public Health and Environment,Better Public Health and Environment,Recoveries,Recoveries
2015-16,"-600,000","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,Economic Development,Recoveries,Recoveries
2015-16,"3,000,000","Ministry of Agriculture, Food and Rural Affairs",Capital Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Agriculture and Rural Affairs Capital,Agriculture and Rural Affairs Capital,Transfer Payments,"Research and Education Base Building Investments"
2015-16,"11,510,000","Ministry of Agriculture, Food and Rural Affairs",Capital Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Agriculture and Rural Affairs Capital,Agriculture and Rural Affairs Capital,Transfer Payments,"Research and Education Infrastructure Renewal"
2015-16,"14,630,778","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,Economic Development,Transfer Payments,"Rural Economic Development Program"
2015-16,"2,972,181","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,Economic Development,Transfer Payments,"Rural Summer Jobs Program"
2015-16,"1,851,000","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Research,Research,Transfer Payments,Strategic Partnerships
2015-16,"71,777,559","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Research,Research,Transfer Payments,University of Guelph
2015-16,"849,505","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Business Risk Management Transfers,Business Risk Management Transfers,Transfer Payments,"Wildlife Damage Compensation - Federal"
2015-16,"936,308","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Business Risk Management Transfers,Business Risk Management Transfers,Transfer Payments,"Wildlife Damage Compensation - Provincial"
2015-16,184,"Ministry of Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment,Bad Debt Expense,Statutory Appropriations,Other Transaction,
2015-16,"85,436","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Bad Debt Expense,Statutory Appropriations,Other Transaction 1,
2015-16,"98,974","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Bad Debt Expense,Statutory Appropriations,Other Transaction 2,
2015-16,"4,426,909","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment,Better Public Health and Environment,Better Public Health and Environment,Employee Benefits,
2015-16,"31,762,305","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment,Better Public Health and Environment,Better Public Health and Environment,Salaries and Wages,
2015-16,"14,292,455","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment,Better Public Health and Environment,Better Public Health and Environment,Services,
2015-16,"402,364","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment,Better Public Health and Environment,Better Public Health and Environment,Supplies and equipment,
2015-16,"1,813,810","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment,Better Public Health and Environment,Better Public Health and Environment,Transportation and Communication,
2015-16,"3,783,106","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,Economic Development,Employee Benefits,
2015-16,"21,998,497","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,Economic Development,Salaries and Wages,
2015-16,"17,659,273","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,Economic Development,Services,
2015-16,"482,056","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,Economic Development,Supplies and equipment,
2015-16,"1,323,905","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,Economic Development,Transportation and Communication,
2015-16,"49,301","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Minister's Salary,Statutory Appropriations,Salaries and Wages,
2015-16,"299,072","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Employee Benefits,
2015-16,"322,978","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Employee Benefits,
2015-16,"471,925","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Planning and Financial Services,Employee Benefits,
2015-16,"554,345","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Employee Benefits,
2015-16,"760,652","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Employee Benefits,
2015-16,"2,077,339","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Salaries and Wages,
2015-16,"2,119,455","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Salaries and Wages,
2015-16,"2,122,664","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Salaries and Wages,
2015-16,"3,134,513","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Planning and Financial Services,Salaries and Wages,
2015-16,"3,425,343","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and Wages,
2015-16,"153,138","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Services,
2015-16,"166,500","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Planning and Financial Services,Services,
2015-16,"199,552","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Services,
2015-16,"488,917","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Audit Services,Services,
2015-16,"1,102,862","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Services,
2015-16,"2,489,871","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Services,
2015-16,"2,770,198","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Services,
2015-16,"20,179","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Supplies and equipment,
2015-16,"22,079","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Planning and Financial Services,Supplies and equipment,
2015-16,"32,614","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Supplies and equipment,
2015-16,"45,465","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Supplies and equipment,
2015-16,"57,281","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Supplies and equipment,
2015-16,"159,143","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Supplies and equipment,
2015-16,"3,332","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Audit Services,Transportation and Communication,
2015-16,"21,130","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Transportation and Communication,
2015-16,"27,544","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Transportation and Communication,
2015-16,"33,710","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Planning and Financial Services,Transportation and Communication,
2015-16,"93,580","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Transportation and Communication,
2015-16,"158,008","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Transportation and Communication,
2015-16,"196,055","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Transportation and Communication,
2015-16,"16,667","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Parliamentary Assistant's Salary,Statutory Appropriations,Salaries and Wages,
2015-16,"1,567,976","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,Policy Development,Policy Development,Policy Development,Employee Benefits,
2015-16,"11,126,940","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,Policy Development,Policy Development,Policy Development,Salaries and Wages,
2015-16,"2,902,085","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,Policy Development,Policy Development,Policy Development,Services,
2015-16,"136,558","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,Policy Development,Policy Development,Policy Development,Supplies and equipment,
2015-16,"350,434","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,Policy Development,Policy Development,Policy Development,Transportation and Communication,
2015-16,"265,193","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Research,Research,Employee Benefits,
2015-16,"2,012,906","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Research,Research,Salaries and Wages,
2015-16,"529,427","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Research,Research,Services,
2015-16,"23,562","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Research,Research,Supplies and equipment,
2015-16,"35,559","Ministry of Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Research,Research,Transportation and Communication,
2015-16,"10,322,653",Ministry of Children and Youth Services,Capital Expense,Children and Youth Services Program,Amortization,Statutory Appropriations,Other Transaction,Amortization
2015-16,"189,080,119",Ministry of Children and Youth Services,Operating Expense,Children and Youth Services Program,Specialized Services,Autism,Transfer Payments,Autism
2015-16,"136,630,068",Ministry of Children and Youth Services,Capital Expense,Infrastructure Program ,Children and Youth Services Capital,Children and Youth Services Capital,Transfer Payments,Capital Grants
2015-16,"165,859",Ministry of Children and Youth Services,Capital Expense,Infrastructure Program ,Children and Youth Services Capital,Children and Youth Services Capital,Other Transaction,Capital Investments
2015-16,"437,875,758",Ministry of Children and Youth Services,Operating Expense,Children and Youth Services Program,Children and Youth at Risk,Child and Youth Mental Health,Transfer Payments,"Child and Youth Mental Health"
2015-16,"4,425",Ministry of Children and Youth Services,Operating Expense,Children and Youth Services Program,Children and Youth at Risk,Child and Youth Mental Health,Transfer Payments,"Child and Youth Mental Health Payments in Lieu of Municipal Taxes"
2015-16,"1,503,790,000",Ministry of Children and Youth Services,Operating Expense,Children and Youth Services Program,Children and Youth at Risk,Children Protection Services,Transfer Payments,"Child Protection Services"
2015-16,"27,452,203",Ministry of Children and Youth Services,Operating Expense,Children and Youth Services Program,Children and Youth at Risk,Children Protection Services,Transfer Payments,"Child Protection Transformation Fund"
2015-16,"48,135,386",Ministry of Children and Youth Services,Operating Expense,Children and Youth Services Program,Healthy Child Development,Healthy Child Development,Transfer Payments,Children's Activity Tax Credit
2015-16,"118,138,347",Ministry of Children and Youth Services,Operating Expense,Children and Youth Services Program,Specialized Services,Children's Treatment and Rehabilitation Services,Transfer Payments,"Children's Treatment and Rehabilitation Services"
2015-16,"106,913,657",Ministry of Children and Youth Services,Operating Expense,Children and Youth Services Program,Specialized Services,Complex Special Needs,Transfer Payments,"Complex Special Needs"
2015-16,"1,175,349",Ministry of Children and Youth Services,Operating Expense,Children and Youth Services Program,Specialized Services,Co-ordinated Service Planning,Transfer Payments,Co-ordinated Service Planning
2015-16,"129,045,764",Ministry of Children and Youth Services,Operating Expense,Children and Youth Services Program,Healthy Child Development,Healthy Child Development,Transfer Payments,Early Years Community Support
2015-16,"89,630,526",Ministry of Children and Youth Services,Operating Expense,Children and Youth Services Program,Healthy Child Development,Healthy Child Development,Transfer Payments,Healthy Babies Healthy Children
2015-16,"278,800",Ministry of Children and Youth Services,Capital Expense,Infrastructure Program ,Children and Youth Services Capital,Children and Youth Services Capital,Transfer Payments,Land Transfer-Capital
