Year,Amount $,Ministry Name (Level 1),Expenditure Category (Operating / Capital)(Level 2),Program Name (Level 3),Activity / Item (Level 4),Sub Item (Level 5),Standard Account (Expense/Asset Name) (Level 6),Account Details (Expense/Asset Details) (Level 7)
2017-18,"1,351,659",Advanced Education and Skills Development,Operating Expense,Ministry Administration Program,Ministry Administration,Audit Services,Services,No Value
2017-18,"3,390,885",Advanced Education and Skills Development,Operating Expense,Ministry Administration Program,Ministry Administration,Information Systems,Services,No Value
2017-18,"16,844",Advanced Education and Skills Development,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Supplies and equipment,No Value
2017-18,"6,837",Advanced Education and Skills Development,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Supplies and equipment,No Value
2017-18,"49,301",Advanced Education and Skills Development,Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Salaries and wages,"Minister's Salary, the Executive Council Act"
2017-18,"16,667",Advanced Education and Skills Development,Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Salaries and wages,"Parliamentary Assistant's Salary, the Executive Council Act"
2017-18,"18,039,817",Advanced Education and Skills Development,Operating Expense,Postsecondary Education Program,"Colleges, Universities and Student Support",No Value,Salaries and wages,No Value
2017-18,"2,470,227",Advanced Education and Skills Development,Operating Expense,Postsecondary Education Program,"Colleges, Universities and Student Support",No Value,Employee benefits,No Value
2017-18,"1,161,349",Advanced Education and Skills Development,Operating Expense,Postsecondary Education Program,"Colleges, Universities and Student Support",No Value,Transportation and communication,No Value
2017-18,"30,360,489",Advanced Education and Skills Development,Operating Expense,Postsecondary Education Program,"Colleges, Universities and Student Support",No Value,Services,No Value
2017-18,"102,198",Advanced Education and Skills Development,Operating Expense,Postsecondary Education Program,"Colleges, Universities and Student Support",No Value,Supplies and equipment,No Value
2017-18,"1,517,800,429",Advanced Education and Skills Development,Operating Expense,Postsecondary Education Program,"Colleges, Universities and Student Support",No Value,Transfer payments,Grants for College Operating Costs
2017-18,"3,613,910,978",Advanced Education and Skills Development,Operating Expense,Postsecondary Education Program,"Colleges, Universities and Student Support",No Value,Transfer payments,Grants for University Operating Costs
2017-18,"805,414",Advanced Education and Skills Development,Operating Expense,Postsecondary Education Program,"Colleges, Universities and Student Support",No Value,Transfer payments,"Council of Ministers of Education, Canada"
2017-18,"14,184,496",Advanced Education and Skills Development,Operating Expense,Postsecondary Education Program,"Colleges, Universities and Student Support",No Value,Transfer payments,Postsecondary Transformation
2017-18,"1,662,519,053",Advanced Education and Skills Development,Operating Expense,Postsecondary Education Program,"Colleges, Universities and Student Support",No Value,Transfer payments,Student Financial Assistance Programs
2017-18,"3,198,485",Advanced Education and Skills Development,Operating Expense,Postsecondary Education Program,"Colleges, Universities and Student Support",No Value,Transfer payments,GGRA Low Carbon Building Skills
2017-18,"-3,796,012",Advanced Education and Skills Development,Operating Expense,Postsecondary Education Program,"Colleges, Universities and Student Support",No Value,Recoveries,No Value
2017-18,"65,160,000",Advanced Education and Skills Development,Capital Expense,Postsecondary Education Program,Support for Postsecondary Education,No Value,Transfer payments,Capital Grants - Colleges
2017-18,"153,639,200",Advanced Education and Skills Development,Capital Expense,Postsecondary Education Program,Support for Postsecondary Education,No Value,Transfer payments,Capital Grants - Universities
2017-18,"322,421,890",Advanced Education and Skills Development,Capital Expense,Postsecondary Education Program,Support for Postsecondary Education,No Value,Transfer payments,Strategic Investment Fund - Federal
2017-18,"214,400,000",Advanced Education and Skills Development,Capital Expense,Postsecondary Education Program,Support for Postsecondary Education,No Value,Transfer payments,Greenhouse Gas Reduction Account – Postsecondary Retrofit Program
2017-18,"-214,400,000",Advanced Education and Skills Development,Capital Expense,Postsecondary Education Program,Support for Postsecondary Education,No Value,Recoveries,No Value
2017-18,"4,589,316",Advanced Education and Skills Development,Capital Expense,Postsecondary Education Program,Statutory Appropriations,No Value,Other transactions,"Amortization, the Financial Administration Act"
2017-18,"26,676,578",Advanced Education and Skills Development,Operating Expense,Postsecondary Education Program,Statutory Appropriations,No Value,Other transactions,"Bad Debt Expenses for Defaulted Student Loans, the Financial Administration Act"
2017-18,"850,920",Advanced Education and Skills Development,Operating Expense,Postsecondary Education Program,Statutory Appropriations,No Value,Other transactions,"Bad Debt Expenses for Private Career Colleges, the Financial Administration Act"
2017-18,"603,737",Advanced Education and Skills Development,Operating Expense,Postsecondary Education Program,Statutory Appropriations,No Value,Other transactions,"Training Completion Assurance Fund, the Private Career Colleges Act"
2017-18,"11,822,113",Advanced Education and Skills Development,Operating Expense,Strategic Policy and Programs,Strategic Policy and Programs,No Value,Salaries and wages,No Value
2017-18,"1,567,124",Advanced Education and Skills Development,Operating Expense,Strategic Policy and Programs,Strategic Policy and Programs,No Value,Employee benefits,No Value
2017-18,"453,688",Advanced Education and Skills Development,Operating Expense,Strategic Policy and Programs,Strategic Policy and Programs,No Value,Transportation and communication,No Value
2017-18,"6,313,211",Advanced Education and Skills Development,Operating Expense,Strategic Policy and Programs,Strategic Policy and Programs,No Value,Services,No Value
2017-18,"132,134",Advanced Education and Skills Development,Operating Expense,Strategic Policy and Programs,Strategic Policy and Programs,No Value,Supplies and equipment,No Value
2017-18,"-257,080",Advanced Education and Skills Development,Operating Expense,Strategic Policy and Programs,Strategic Policy and Programs,No Value,Recoveries,No Value
2017-18,"2,903,486","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Salaries and wages,No Value
2017-18,"397,701","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Employee benefits,No Value
2017-18,"257,852","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Transportation and communication,No Value
2017-18,"397,275","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Services,No Value
2017-18,"64,031","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Supplies and equipment,No Value
2017-18,"2,420,043","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Salaries and wages,No Value
2017-18,"804,553","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Employee benefits,No Value
2017-18,"241,050","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Transportation and communication,No Value
2017-18,"2,436,052","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Services,No Value
2017-18,"166,414","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Supplies and equipment,No Value
2017-18,"3,082,557","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Planning and Financial Services,Salaries and wages,No Value
2017-18,"457,069","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Planning and Financial Services,Employee benefits,No Value
2017-18,"20,103","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Planning and Financial Services,Transportation and communication,No Value
2017-18,"168,693","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Planning and Financial Services,Services,No Value
2017-18,"16,262","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Planning and Financial Services,Supplies and equipment,No Value
2017-18,"1,895,351","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Salaries and wages,No Value
2017-18,"244,638","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Employee benefits,No Value
2017-18,"28,023","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Transportation and communication,No Value
2017-18,"159,514","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Services,No Value
2017-18,"20,662","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Supplies and equipment,No Value
2017-18,"3,539,576","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and wages,No Value
2017-18,"545,609","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Employee benefits,No Value
2017-18,"87,881","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Transportation and communication,No Value
2017-18,"1,346,256","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Services,No Value
2017-18,"46,096","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Supplies and equipment,No Value
2017-18,"24,569","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Transportation and communication,No Value
2017-18,"2,874,266","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Services,No Value
2017-18,"15,876","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Supplies and equipment,No Value
2017-18,"3,452","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Audit Services,Transportation and communication,No Value
2017-18,"537,373","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Audit Services,Services,No Value
2017-18,"49,301","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Salaries and wages,"Minister's Salary, the Executive Council Act"
2017-18,"16,667","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Salaries and wages,"Parliamentary Assistant's Salary, the Executive Council Act"
2017-18,"32,236,895","Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment,Better Public Health and Environment,No Value,Salaries and wages,No Value
2017-18,"4,466,704","Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment,Better Public Health and Environment,No Value,Employee benefits,No Value
2017-18,"1,811,218","Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment,Better Public Health and Environment,No Value,Transportation and communication,No Value
2017-18,"15,646,432","Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment,Better Public Health and Environment,No Value,Services,No Value
2017-18,"510,613","Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment,Better Public Health and Environment,No Value,Supplies and equipment,No Value
2017-18,"9,667,000","Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment,Better Public Health and Environment,No Value,Transfer payments,Agricultural Drainage Infrastructure Program
2017-18,"575,425","Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment,Better Public Health and Environment,No Value,Transfer payments,Agri-Environmental Standards Research
2017-18,"403,500","Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment,Better Public Health and Environment,No Value,Transfer payments,Other Assistance for Public Health
2017-18,"4,374,486","Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment,Better Public Health and Environment,No Value,Transfer payments,Environment Partnerships
2017-18,"360,870","Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment,Better Public Health and Environment,No Value,Transfer payments,Food Safety and Traceability Partnerships
2017-18,"621,474","Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment,Better Public Health and Environment,No Value,Transfer payments,Lake Simcoe Agri-Environmental Partnerships
2017-18,"13,990,527","Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment,Better Public Health and Environment,No Value,Transfer payments,Growing Forward- Federal-Better Public Health and Environment
2017-18,"2,074,046","Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment,Better Public Health and Environment,No Value,Transfer payments,Climate Change Action Plan
2017-18,"-4,172,026","Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment,Better Public Health and Environment,No Value,Recoveries,No Value
2017-18,"1,638","Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment,Statutory Appropriations,No Value,Other transactions,"Bad Debt Expense, the Financial Administration Act"
2017-18,"22,689,028","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,No Value,Salaries and wages,No Value
2017-18,"3,163,229","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,No Value,Employee benefits,No Value
2017-18,"1,347,423","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,No Value,Transportation and communication,No Value
2017-18,"14,561,376","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,No Value,Services,No Value
2017-18,"435,852","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,No Value,Supplies and equipment,No Value
2017-18,"14,951,758","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,No Value,Transfer payments,Ontario Wine Fund
2017-18,"3,614,781","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,No Value,Transfer payments,Agriculture Development
2017-18,"4,490,499","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,No Value,Transfer payments,Other Assistance Rural
2017-18,"2,846,460","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,No Value,Transfer payments,Rural Economic Development Program
2017-18,"20,597,513","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,No Value,Transfer payments,Growing Forward- Federal-Economic Development
2017-18,"31,000,000","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,No Value,Transfer payments,Food Industry
2017-18,"5,902,396","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,No Value,Transfer payments,Horse Racing Industry Development Program
2017-18,"38,000,000","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,No Value,Transfer payments,Main Street Enhancement Fund
2017-18,"2,195,887","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,No Value,Transfer payments,Small Cidery and Small Distillery Support Program
2017-18,"-1,797,375","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,No Value,Recoveries,No Value
2017-18,"1,978,101","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Research,No Value,Salaries and wages,No Value
2017-18,"245,484","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Research,No Value,Employee benefits,No Value
2017-18,"34,896","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Research,No Value,Transportation and communication,No Value
2017-18,"484,186","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Research,No Value,Services,No Value
2017-18,"29,004","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Research,No Value,Supplies and equipment,No Value
2017-18,"650,000","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Research,No Value,Transfer payments,Competitive Research
2017-18,"500,000","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Research,No Value,Transfer payments,Food Safety Research
2017-18,"750,000","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Research,No Value,Transfer payments,Grants in Lieu of Taxes
2017-18,"3,645,000","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Research,No Value,Transfer payments,Strategic Partnerships
2017-18,"71,715,012","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Research,No Value,Transfer payments,University of Guelph
2017-18,"8,542,000","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Research,No Value,Transfer payments,Growing Forward - Federal - Research
2017-18,"15,118,230","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Business Risk Management Transfers,No Value,Transfer payments,Agricorp
2017-18,"31,650,107","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Business Risk Management Transfers,No Value,Transfer payments,AgriInsurance
2017-18,"21,429,840","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Business Risk Management Transfers,No Value,Transfer payments,AgriInvest
2017-18,"14,046,880","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Business Risk Management Transfers,No Value,Transfer payments,AgriStability
2017-18,"6,389","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Business Risk Management Transfers,No Value,Transfer payments,Other Assistance for Risk Management
2017-18,"414,007","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Business Risk Management Transfers,No Value,Transfer payments,Wildlife Damage Compensation - Federal
2017-18,"456,977","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Business Risk Management Transfers,No Value,Transfer payments,Wildlife Damage Compensation - Provincial
2017-18,"100,000,000","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Business Risk Management Transfers,No Value,Transfer payments,Ontario Risk Management Program
2017-18,"22,969,000","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Business Risk Management Transfers,No Value,Transfer payments,Farmers’ Risk Management Premium Fund
2017-18,"3,000,000","Agriculture, Food and Rural Affairs",Capital Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Agriculture and Rural Affairs Capital,No Value,Transfer payments,Research and Education Base Building Investments
2017-18,"1,500,000","Agriculture, Food and Rural Affairs",Capital Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Agriculture and Rural Affairs Capital,No Value,Transfer payments,Research and Education Infrastructure Renewal
2017-18,"500,000","Agriculture, Food and Rural Affairs",Capital Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Agriculture and Rural Affairs Capital,No Value,Transfer payments,Agri-Food and Animal Health Laboratory Infrastructure
2017-18,"636,537","Agriculture, Food and Rural Affairs",Capital Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Agriculture and Rural Affairs Capital,No Value,Transfer payments,Green Infrastructure Fund
2017-18,"195,009,996","Agriculture, Food and Rural Affairs",Capital Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Agriculture and Rural Affairs Capital,No Value,Transfer payments,Municipal Infrastructure
2017-18,"37,233,173","Agriculture, Food and Rural Affairs",Capital Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Agriculture and Rural Affairs Capital,No Value,Transfer payments,New Building Canada Fund- Federal Contribution
2017-18,"64,065,173","Agriculture, Food and Rural Affairs",Capital Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Agriculture and Rural Affairs Capital,No Value,Transfer payments,New Building Canada Fund-Provincial Contribution
2017-18,"-128,840,483","Agriculture, Food and Rural Affairs",Capital Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Agriculture and Rural Affairs Capital,No Value,Recoveries,No Value
2017-18,"417,284","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Statutory Appropriations,No Value,Other transactions,"Bad Debt Expense, the Financial Administration Act"
2017-18,"139,506","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Statutory Appropriations,No Value,Other transactions,"Bad Debt Expense, the Financial Administration Act"
2017-18,"12,436,709","Agriculture, Food and Rural Affairs",Operating Expense,Policy Development,Policy Development,No Value,Salaries and wages,No Value
2017-18,"1,656,980","Agriculture, Food and Rural Affairs",Operating Expense,Policy Development,Policy Development,No Value,Employee benefits,No Value
2017-18,"442,945","Agriculture, Food and Rural Affairs",Operating Expense,Policy Development,Policy Development,No Value,Transportation and communication,No Value
2017-18,"3,246,194","Agriculture, Food and Rural Affairs",Operating Expense,Policy Development,Policy Development,No Value,Services,No Value
2017-18,"130,947","Agriculture, Food and Rural Affairs",Operating Expense,Policy Development,Policy Development,No Value,Supplies and equipment,No Value
2017-18,"39,269","Assembly, Office of the",Operating Expense,Commission(er)'s Program,Financial Accountability Officer,No Value,Supplies and equipment,No Value
2017-18,"542,238","Assembly, Office of the",Operating Expense,Commission(er)'s Program,Financial Accountability Officer,No Value,Services,No Value
2017-18,"19,796","Assembly, Office of the",Operating Expense,Commission(er)'s Program,Financial Accountability Officer,No Value,Transportation and communication,No Value
2017-18,"305,845","Assembly, Office of the",Operating Expense,Commission(er)'s Program,Financial Accountability Officer,No Value,Employee benefits,No Value
