Year,Amount $,Ministry Name,Expenditure Category (Operating / Capital),Program Name,Activity / Item,Sub Item,Standard Account (Expense/Asset Name),Account Details (Expense/Asset Details)
2019-20,"3,342","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Planning and Financial Services,Supplies and equipment,No Value
2019-20,"5,599","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Supplies and equipment,No Value
2019-20,"11,083","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Supplies and equipment,No Value
2019-20,"29,398","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Salaries and wages,"Parliamentary Assistant’s Salary, the Executive Council Act"
2019-20,"13,212","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Transportation and communication,No Value
2019-20,"17,901","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Supplies and equipment,No Value
2019-20,"18,127","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Supplies and equipment,No Value
2019-20,"17,283","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Transportation and communication,No Value
2019-20,"18,055","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Planning and Financial Services,Transportation and communication,No Value
2019-20,"30,448","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Supplies and equipment,No Value
2019-20,"49,302","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Salaries and wages,"Minister’s Salary, the Executive Council Act"
2019-20,"40,670","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Transportation and communication,No Value
2019-20,"68,654","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Transportation and communication,No Value
2019-20,"168,294","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Planning and Financial Services,Services,No Value
2019-20,"126,589","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Transportation and communication,No Value
2019-20,"104,451","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Services,No Value
2019-20,"198,864","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Employee benefits,No Value
2019-20,"271,693","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Services,No Value
2019-20,"304,544","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Employee benefits,No Value
2019-20,"408,461","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Planning and Financial Services,Employee benefits,No Value
2019-20,"520,200","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Employee benefits,No Value
2019-20,"780,634","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Employee benefits,No Value
2019-20,"776,440","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Services,No Value
2019-20,"1,576,699","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Salaries and wages,No Value
2019-20,"2,406,969","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Services,No Value
2019-20,"2,952,857","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Services,No Value
2019-20,"2,370,332","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Salaries and wages,No Value
2019-20,"2,895,498","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Planning and Financial Services,Salaries and wages,No Value
2019-20,"2,456,203","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Salaries and wages,No Value
2019-20,"3,652,485","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and wages,No Value
2019-20,"30,414","Agriculture, Food and Rural Affairs",Operating Expense,Policy Development,Policy Development,No Value,Supplies and equipment,No Value
2019-20,"181,724","Agriculture, Food and Rural Affairs",Operating Expense,Policy Development,Policy Development,No Value,Transportation and communication,No Value
2019-20,"1,454,649","Agriculture, Food and Rural Affairs",Operating Expense,Policy Development,Policy Development,No Value,Employee benefits,No Value
2019-20,"2,953,333","Agriculture, Food and Rural Affairs",Operating Expense,Policy Development,Policy Development,No Value,Services,No Value
2019-20,"11,725,085","Agriculture, Food and Rural Affairs",Operating Expense,Policy Development,Policy Development,No Value,Salaries and wages,No Value
2019-20,"395,892","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Business Risk Management Transfers,No Value,Transfer payments,Wildlife Damage Compensation – Federal
2019-20,"420,452","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Business Risk Management Transfers,No Value,Transfer payments,Wildlife Damage Compensation – Provincial
2019-20,"16,301,817","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Business Risk Management Transfers,No Value,Transfer payments,Agricorp
2019-20,"20,046,000","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Business Risk Management Transfers,No Value,Transfer payments,AgriInvest
2019-20,"22,960,000","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Business Risk Management Transfers,No Value,Transfer payments,AgriStability
2019-20,"29,000,000","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Business Risk Management Transfers,No Value,Transfer payments,Farmers’ Risk Management Premium Fund
2019-20,"31,579,003","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Business Risk Management Transfers,No Value,Transfer payments,AgriInsurance
2019-20,"100,000,000","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Business Risk Management Transfers,No Value,Transfer payments,Ontario Risk Management Program
2019-20,"-2,220,445","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,No Value,Recoveries,No Value
2019-20,"120,891","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,No Value,Supplies and equipment,No Value
2019-20,"2,883,519","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,No Value,Transfer payments,Grassroots Growth Program
2019-20,"612,669","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,No Value,Transportation and communication,No Value
2019-20,"2,689,771","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,No Value,Transfer payments,Small Cidery and Small Distillery Support Program
2019-20,"1,121,123","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,No Value,Transfer payments,Rural Economic Development Program
2019-20,"3,268,137","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,No Value,Employee benefits,No Value
2019-20,"11,394,647","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,No Value,Services,No Value
2019-20,"12,841,977","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,No Value,Transfer payments,Ontario Wine Fund
2019-20,"17,587,889","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,No Value,Transfer payments,Canadian Ag Partnership – Federal – Economic Development
2019-20,"22,158,957","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,No Value,Salaries and wages,No Value
2019-20,"34,608,193","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,No Value,Transfer payments,Food Industry
2019-20,"3,011","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Research,No Value,Supplies and equipment,No Value
2019-20,"20,210","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Research,No Value,Transportation and communication,No Value
2019-20,"313,528","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Research,No Value,Employee benefits,No Value
2019-20,"553,715","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Research,No Value,Services,No Value
2019-20,"201,270","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Research,No Value,Transfer payments,Food Safety Research
2019-20,"750,000","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Research,No Value,Transfer payments,Grants in Lieu of Taxes
2019-20,"2,216,507","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Research,No Value,Salaries and wages,No Value
2019-20,"6,745,570","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Research,No Value,Transfer payments,Canadian Ag Partnership – Federal – Research
2019-20,"66,100,000","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Research,No Value,Transfer payments,University of Guelph
2019-20,"100,501","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Statutory Appropriations,No Value,Other transactions,"Bad Debt Expense, the Financial Administration Act"
2019-20,"33,830",Attorney General,Capital Expense,Court Services Program,Court Construction,No Value,Transfer Payments,Land Transfers
2019-20,"43,895,801",Attorney General,Capital Expense,Court Services Program,Court Construction,No Value,Other transactions,Major Infrastructure Projects - Payments
2019-20,"538,576",Attorney General,Capital Expense,Court Services Program,Statutory Appropriations,No Value,Other transactions,"Amortization, the Financial Administration Act"
2019-20,"43,727,598",Attorney General,Capital Expense,Ministry Administration Program,Facilities Renewal,No Value,Other transactions,Capital Investments - Assets Renewal
2019-20,"14,766,562",Attorney General,Capital Expense,Ministry Administration Program,Facilities Renewal,No Value,Other transactions,Capital Investments - Renewal Expense
2019-20,"369,576",Attorney General,Capital Expense,"Policy, Justice Programs and Agencies Program",Statutory Appropriations,No Value,Other transactions,"Amortization, the Financial Administration Act"
2019-20,"1,268,890",Attorney General,Operating Expense,Court Services Program,Administration of Justice,No Value,Transfer payments,Federal Contraventions Act - Support for French Language Services
2019-20,"5,604,463",Attorney General,Operating Expense,Court Services Program,Administration of Justice,No Value,Supplies and equipment,No Value
2019-20,"9,281,605",Attorney General,Operating Expense,Court Services Program,Administration of Justice,No Value,Transportation and communication,No Value
2019-20,"28,651,494",Attorney General,Operating Expense,Court Services Program,Administration of Justice,No Value,Employee benefits,No Value
2019-20,"67,068,087",Attorney General,Operating Expense,Court Services Program,Administration of Justice,No Value,Services,No Value
2019-20,"164,493,469",Attorney General,Operating Expense,Court Services Program,Administration of Justice,No Value,Salaries and wages,No Value
2019-20,"231,950",Attorney General,Operating Expense,Court Services Program,Judicial Services,No Value,Transfer payments,Grants - National Judicial Institute/Ontario Conference of Judges
2019-20,"464,252",Attorney General,Operating Expense,Court Services Program,Judicial Services,No Value,Supplies and equipment,No Value
2019-20,"2,739,651",Attorney General,Operating Expense,Court Services Program,Judicial Services,No Value,Transportation and communication,No Value
2019-20,"11,203,757",Attorney General,Operating Expense,Court Services Program,Judicial Services,No Value,Employee benefits,No Value
2019-20,"20,023,890",Attorney General,Operating Expense,Court Services Program,Judicial Services,No Value,Services,No Value
2019-20,"150,808,334",Attorney General,Operating Expense,Court Services Program,Judicial Services,No Value,Salaries and wages,No Value
2019-20,"10,195,463",Attorney General,Operating Expense,Court Services Program,Statutory Appropriations,No Value,Other transactions,"Bad Debt Expense, the Financial Administration Act"
2019-20,"-117,604,266",Attorney General,Operating Expense,Legal Services Program,Civil Law,Seconded Legal Services,Recoveries,No Value
2019-20,"-21,493,876",Attorney General,Operating Expense,Legal Services Program,Civil Law,Civil and Constitutional Law,Recoveries,No Value
2019-20,"397,975",Attorney General,Operating Expense,Legal Services Program,Civil Law,Civil and Constitutional Law,Transportation and communication,No Value
2019-20,"938,500",Attorney General,Operating Expense,Legal Services Program,Civil Law,Civil and Constitutional Law,Supplies and equipment,No Value
2019-20,"478,763",Attorney General,Operating Expense,Legal Services Program,Civil Law,Civil and Constitutional Law,Transfer payments,Civil Remedies for Illicit Activities - Civil Remedies Act - Civil Remedies Act - Grants
2019-20,"3,407,886",Attorney General,Operating Expense,Legal Services Program,Civil Law,Civil and Constitutional Law,Transfer payments,Civil Remedies for Illicit Activities - Civil Remedies Act - Victims Compensation
2019-20,"3,518,138",Attorney General,Operating Expense,Legal Services Program,Civil Law,Civil and Constitutional Law,Employee benefits,No Value
2019-20,"9,017,982",Attorney General,Operating Expense,Legal Services Program,Civil Law,Civil and Constitutional Law,Services,No Value
2019-20,"10,366,953",Attorney General,Operating Expense,Legal Services Program,Civil Law,Seconded Legal Services,Employee benefits,No Value
2019-20,"34,262,588",Attorney General,Operating Expense,Legal Services Program,Civil Law,Civil and Constitutional Law,Salaries and wages,No Value
2019-20,"107,237,313",Attorney General,Operating Expense,Legal Services Program,Civil Law,Seconded Legal Services,Salaries and wages,No Value
2019-20,"-2,406,272",Attorney General,Operating Expense,Legal Services Program,Legislative Counsel Services,No Value,Recoveries,No Value
2019-20,"23,844",Attorney General,Operating Expense,Legal Services Program,Legislative Counsel Services,No Value,Supplies and equipment,No Value
2019-20,"28,219",Attorney General,Operating Expense,Legal Services Program,Legislative Counsel Services,No Value,Transportation and communication,No Value
2019-20,"329,035",Attorney General,Operating Expense,Legal Services Program,Legislative Counsel Services,No Value,Services,No Value
2019-20,"769,183",Attorney General,Operating Expense,Legal Services Program,Legislative Counsel Services,No Value,Employee benefits,No Value
2019-20,"5,670,173",Attorney General,Operating Expense,Legal Services Program,Legislative Counsel Services,No Value,Salaries and wages,No Value
2019-20,"192,322,569",Attorney General,Operating Expense,Legal Services Program,Statutory Appropriations,No Value,Other transactions,The Proceedings Against the Crown Act
2019-20,"5,659",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Supplies and equipment,No Value
2019-20,"3,334",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Supplies and equipment,No Value
2019-20,"67,264",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Supplies and equipment,No Value
2019-20,"22,346",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Transportation and communication,No Value
2019-20,"56,811",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Transportation and communication,No Value
2019-20,"8,084",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Transportation and communication,No Value
2019-20,"177,647",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Services,No Value
2019-20,"304,613",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Employee benefits,No Value
2019-20,"339,532",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Employee benefits,No Value
2019-20,"1,806,490",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Employee benefits,No Value
2019-20,"2,552,825",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and wages,No Value
2019-20,"281,617",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Services,No Value
2019-20,"3,156,791",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Salaries and wages,No Value
2019-20,"5,402,177",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Services,No Value
2019-20,"-91,031",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Recoveries,No Value
2019-20,"12,649,223",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Salaries and wages,No Value
2019-20,"179,968,703",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Accommodation - Lease Costs,Services,No Value
2019-20,"15,649",Attorney General,Operating Expense,Ministry Administration Program,Modernization Division,No Value,Supplies and equipment,No Value
2019-20,"178,401",Attorney General,Operating Expense,Ministry Administration Program,Modernization Division,No Value,Transportation and communication,No Value
2019-20,"244,400",Attorney General,Operating Expense,Ministry Administration Program,Modernization Division,No Value,Transfer payments,Innovation Projects
2019-20,"846,215",Attorney General,Operating Expense,Ministry Administration Program,Modernization Division,No Value,Employee benefits,No Value
2019-20,"4,836,237",Attorney General,Operating Expense,Ministry Administration Program,Modernization Division,No Value,Services,No Value
2019-20,"6,516,121",Attorney General,Operating Expense,Ministry Administration Program,Modernization Division,No Value,Salaries and wages,No Value
2019-20,"16,667",Attorney General,Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Salaries and wages,"Parliamentary Assistant’s Salary, the Executive Council Act"
2019-20,"49,301",Attorney General,Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Salaries and wages,"Minister’s Salary, the Executive Council Act"
2019-20,"-48,490,961",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Alcohol and Gaming Commission of Ontario,Recoveries,No Value
2019-20,"-180,000",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Agency Relations/Program Management,Recoveries,No Value
2019-20,"19,109",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Ontario Human Rights Commission,Supplies and equipment,No Value
2019-20,"7,335",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Agency Relations/Program Management,Supplies and equipment,No Value
2019-20,"36,505",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Office of the Independent Police Review Director,Supplies and equipment,No Value
2019-20,"63,863",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Special Investigations Unit,Supplies and equipment,No Value
2019-20,"123,569",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Ontario Human Rights Commission,Transportation and communication,No Value
2019-20,"129,810",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Agency Relations/Program Management,Transportation and communication,No Value
2019-20,"81,486",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Office of the Independent Police Review Director,Transportation and communication,No Value
2019-20,"438,404",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Agency Relations/Program Management,Employee benefits,No Value
2019-20,"446,099",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Ontario Human Rights Commission,Employee benefits,No Value
2019-20,"515,324",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Ontario Human Rights Commission,Services,No Value
2019-20,"402,070",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Special Investigations Unit,Transportation and communication,No Value
2019-20,"593,828",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Tribunals Ontario,Supplies and equipment,No Value
2019-20,"642,988",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Office of the Independent Police Review Director,Employee benefits,No Value
2019-20,"720,108",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Alcohol and Gaming Commission of Ontario,Supplies and equipment,No Value
2019-20,"729,262",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Agency Relations/Program Management,Services,No Value
2019-20,"883,734",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Special Investigations Unit,Employee benefits,No Value
2019-20,"931,430",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Special Investigations Unit,Services,No Value
2019-20,"585,512",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Office of the Independent Police Review Director,Services,No Value
2019-20,"1,640,231",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Alcohol and Gaming Commission of Ontario,Transportation and communication,No Value
2019-20,"3,305,645",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Tribunals Ontario,Transportation and communication,No Value
2019-20,"2,968,553",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Agency Relations/Program Management,Salaries and wages,No Value
2019-20,"4,001,313",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Ontario Human Rights Commission,Salaries and wages,No Value
2019-20,"8,247,600",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Tribunals Ontario,Employee benefits,No Value
2019-20,"5,122,700",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Human Rights Legal Support Centre,Transfer payments,Human Rights Legal Support Centre
2019-20,"5,585,259",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Office of the Independent Police Review Director,Salaries and wages,No Value
2019-20,"6,549,042",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Special Investigations Unit,Salaries and wages,No Value
2019-20,"17,500,623",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Tribunals Ontario,Services,No Value
2019-20,"10,100,050",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Alcohol and Gaming Commission of Ontario,Services,No Value
2019-20,"12,985,038",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Alcohol and Gaming Commission of Ontario,Employee benefits,No Value
2019-20,"14,200,858",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Bail Verification and Supervision,Transfer payments,Bail Verification and Supervision
2019-20,"57,142,608",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Tribunals Ontario,Salaries and wages,No Value
2019-20,"-343,251",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Tribunals Ontario,Other transactions,Recoveries
2019-20,"48,669,519",Attorney General,Operating Expense,"Policy, Justice Programs and Agencies Program",Agency and Tribunal Relations,Tribunals Ontario,Transfer payments,Compensation to Victims of Crime
