Year,Amount $,Ministry Name,Expenditure Category (Operating / Capital),Program Name,Activity / Item,Sub Item,Standard Account (Expense/Asset Name),Account Details (Expense/Asset Details)
2023-24,38345,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Transportation and communication,No Value
2023-24,736152,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Services,No Value
2023-24,33809,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Supplies and equipment,No Value
2023-24,7004,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Transportation and communication,No Value
2023-24,3274050,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Services,No Value
2023-24,14507,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Supplies and equipment,No Value
2023-24,49301,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Salaries and wages,"Minister's Salary, the Executive Council Act"
2023-24,23930,"Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Salaries and wages,"Parliamentary Assistant's Salary, the Executive Council Act"
2023-24,12972928,"Agriculture, Food and Rural Affairs",Operating Expense,Policy Development Program,Policy Development,No Value,Salaries and wages,No Value
2023-24,1745714,"Agriculture, Food and Rural Affairs",Operating Expense,Policy Development Program,Policy Development,No Value,Employee benefits,No Value
2023-24,134606,"Agriculture, Food and Rural Affairs",Operating Expense,Policy Development Program,Policy Development,No Value,Transportation and communication,No Value
2023-24,1662584,"Agriculture, Food and Rural Affairs",Operating Expense,Policy Development Program,Policy Development,No Value,Services,No Value
2023-24,39196,"Agriculture, Food and Rural Affairs",Operating Expense,Policy Development Program,Policy Development,No Value,Supplies and equipment,No Value
2023-24,25133799,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,No Value,Salaries and wages,No Value
2023-24,3695709,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,No Value,Employee benefits,No Value
2023-24,618293,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,No Value,Transportation and communication,No Value
2023-24,8219831,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,No Value,Services,No Value
2023-24,319046,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,No Value,Supplies and equipment,No Value
2023-24,6081940,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,No Value,Transfer payments,Agri-Food Processing Fund
2023-24,22160236,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,No Value,Transfer payments,Canadian Ag Partnership-Federal-Economic Development
2023-24,9001593,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,No Value,Transfer payments,COVID-19 Programming
2023-24,13477891,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,No Value,Transfer payments,Food Industry
2023-24,5481795,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,No Value,Transfer payments,Grassroots Growth Program
2023-24,23805744,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,No Value,Transfer payments,Ontario Wine Fund
2023-24,4128677,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,No Value,Transfer payments,Rural Economic Development Program
2023-24,5387404,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,No Value,Transfer payments,Small Cidery and Small Distillery Support Program
2023-24,82500,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,No Value,Transfer payments,Veterinary Incentive Program
2023-24,2678812,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Research,No Value,Salaries and wages,No Value
2023-24,382289,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Research,No Value,Employee benefits,No Value
2023-24,47772,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Research,No Value,Transportation and communication,No Value
2023-24,427359,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Research,No Value,Services,No Value
2023-24,10854,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Research,No Value,Supplies and equipment,No Value
2023-24,18831,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Research,No Value,Transfer payments,Food Safety Research
2023-24,1250000,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Research,No Value,Transfer payments,Grants in Lieu of Taxes
2023-24,71646000,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Research,No Value,Transfer payments,University of Guelph
2023-24,9158828,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Research,No Value,Transfer payments,Canadian Ag Partnership-Federal-Research
2023-24,13492267,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Business Risk Management Transfers,No Value,Transfer payments,Agricorp
2023-24,52853153,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Business Risk Management Transfers,No Value,Transfer payments,AgriInsurance
2023-24,21100000,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Business Risk Management Transfers,No Value,Transfer payments,AgriInvest
2023-24,3567378,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Business Risk Management Transfers,No Value,Transfer payments,AgriRecovery
2023-24,45469500,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Business Risk Management Transfers,No Value,Transfer payments,AgriStability
2023-24,54999,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Business Risk Management Transfers,No Value,Transfer payments,Financial Protection Programs and Loan Guarantees
2023-24,150000000,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Business Risk Management Transfers,No Value,Transfer payments,Ontario Risk Management Program
2023-24,521928,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Business Risk Management Transfers,No Value,Transfer payments,Wildlife Damage Compensation - Federal
2023-24,552919,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Business Risk Management Transfers,No Value,Transfer payments,Wildlife Damage Compensation - Provincial
2023-24,292008,"Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Statutory Appropriations,No Value,Other transactions,"Bad Debt Expense, the Financial Administration Act"
2023-24,4500000,"Agriculture, Food and Rural Affairs",Capital Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Agriculture and Rural Affairs Capital,No Value,Transfer payments,Research Infrastructure Maintenance and Repairs
2023-24,500000,"Agriculture, Food and Rural Affairs",Capital Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Agriculture and Rural Affairs Capital,No Value,Transfer payments,Agri-Food and Animal Health Laboratory Infrastructure
2023-24,17626270,Office of the Assembly,Operating Expense,Commission(er)'s Program,Office of the Information and Privacy Commissioner,No Value,Salaries and wages,No Value
2023-24,3773576,Office of the Assembly,Operating Expense,Commission(er)'s Program,Office of the Information and Privacy Commissioner,No Value,Employee benefits,No Value
2023-24,129280,Office of the Assembly,Operating Expense,Commission(er)'s Program,Office of the Information and Privacy Commissioner,No Value,Transportation and communication,No Value
2023-24,5307625,Office of the Assembly,Operating Expense,Commission(er)'s Program,Office of the Information and Privacy Commissioner,No Value,Services,No Value
2023-24,311472,Office of the Assembly,Operating Expense,Commission(er)'s Program,Office of the Information and Privacy Commissioner,No Value,Supplies and equipment,No Value
2023-24,2370929,Office of the Assembly,Operating Expense,Commission(er)'s Program,Office of the Integrity Commissioner,No Value,Salaries and wages,No Value
2023-24,632494,Office of the Assembly,Operating Expense,Commission(er)'s Program,Office of the Integrity Commissioner,No Value,Employee benefits,No Value
2023-24,60390,Office of the Assembly,Operating Expense,Commission(er)'s Program,Office of the Integrity Commissioner,No Value,Transportation and communication,No Value
2023-24,551601,Office of the Assembly,Operating Expense,Commission(er)'s Program,Office of the Integrity Commissioner,No Value,Services,No Value
2023-24,27290,Office of the Assembly,Operating Expense,Commission(er)'s Program,Office of the Integrity Commissioner,No Value,Supplies and equipment,No Value
2023-24,2632168,Office of the Assembly,Operating Expense,Commission(er)'s Program,Financial Accountability Officer,No Value,Salaries and wages,No Value
2023-24,612325,Office of the Assembly,Operating Expense,Commission(er)'s Program,Financial Accountability Officer,No Value,Employee benefits,No Value
2023-24,12765,Office of the Assembly,Operating Expense,Commission(er)'s Program,Financial Accountability Officer,No Value,Transportation and communication,No Value
2023-24,702381,Office of the Assembly,Operating Expense,Commission(er)'s Program,Financial Accountability Officer,No Value,Services,No Value
2023-24,34773,Office of the Assembly,Operating Expense,Commission(er)'s Program,Financial Accountability Officer,No Value,Supplies and equipment,No Value
2023-24,91139,Office of the Assembly,Operating Expense,Office of the Assembly Program,Office of the Speaker,No Value,Transportation and communication,No Value
2023-24,162874,Office of the Assembly,Operating Expense,Office of the Assembly Program,Office of the Speaker,No Value,Services,No Value
2023-24,6143,Office of the Assembly,Operating Expense,Office of the Assembly Program,Office of the Speaker,No Value,Supplies and equipment,No Value
2023-24,1112137,Office of the Assembly,Operating Expense,Office of the Assembly Program,Office of the Clerk,No Value,Salaries and wages,No Value
2023-24,325328,Office of the Assembly,Operating Expense,Office of the Assembly Program,Office of the Clerk,No Value,Employee benefits,No Value
2023-24,7514,Office of the Assembly,Operating Expense,Office of the Assembly Program,Office of the Clerk,No Value,Transportation and communication,No Value
2023-24,422390,Office of the Assembly,Operating Expense,Office of the Assembly Program,Office of the Clerk,No Value,Services,No Value
2023-24,62042,Office of the Assembly,Operating Expense,Office of the Assembly Program,Office of the Clerk,No Value,Supplies and equipment,No Value
2023-24,9269409,Office of the Assembly,Operating Expense,Office of the Assembly Program,Legislative Services,No Value,Salaries and wages,No Value
2023-24,2121798,Office of the Assembly,Operating Expense,Office of the Assembly Program,Legislative Services,No Value,Employee benefits,No Value
2023-24,566257,Office of the Assembly,Operating Expense,Office of the Assembly Program,Legislative Services,No Value,Transportation and communication,No Value
2023-24,1790861,Office of the Assembly,Operating Expense,Office of the Assembly Program,Legislative Services,No Value,Services,No Value
2023-24,647779,Office of the Assembly,Operating Expense,Office of the Assembly Program,Legislative Services,No Value,Supplies and equipment,No Value
2023-24,-183188,Office of the Assembly,Operating Expense,Office of the Assembly Program,Legislative Services,No Value,Recoveries,No Value
2023-24,8722641,Office of the Assembly,Operating Expense,Office of the Assembly Program,Information and Technology Services,No Value,Salaries and wages,No Value
2023-24,2044853,Office of the Assembly,Operating Expense,Office of the Assembly Program,Information and Technology Services,No Value,Employee benefits,No Value
2023-24,67165,Office of the Assembly,Operating Expense,Office of the Assembly Program,Information and Technology Services,No Value,Transportation and communication,No Value
2023-24,1802731,Office of the Assembly,Operating Expense,Office of the Assembly Program,Information and Technology Services,No Value,Services,No Value
2023-24,847112,Office of the Assembly,Operating Expense,Office of the Assembly Program,Information and Technology Services,No Value,Supplies and equipment,No Value
2023-24,6339637,Office of the Assembly,Operating Expense,Office of the Assembly Program,Administrative Services,No Value,Salaries and wages,No Value
2023-24,1488425,Office of the Assembly,Operating Expense,Office of the Assembly Program,Administrative Services,No Value,Employee benefits,No Value
2023-24,609728,Office of the Assembly,Operating Expense,Office of the Assembly Program,Administrative Services,No Value,Transportation and communication,No Value
2023-24,1204087,Office of the Assembly,Operating Expense,Office of the Assembly Program,Administrative Services,No Value,Services,No Value
2023-24,1273615,Office of the Assembly,Operating Expense,Office of the Assembly Program,Administrative Services,No Value,Supplies and equipment,No Value
2023-24,-1406457,Office of the Assembly,Operating Expense,Office of the Assembly Program,Administrative Services,No Value,Recoveries,No Value
2023-24,10576837,Office of the Assembly,Operating Expense,Office of the Assembly Program,Sergeant at Arms and Precinct Properties,No Value,Salaries and wages,No Value
2023-24,2406948,Office of the Assembly,Operating Expense,Office of the Assembly Program,Sergeant at Arms and Precinct Properties,No Value,Employee benefits,No Value
2023-24,80355,Office of the Assembly,Operating Expense,Office of the Assembly Program,Sergeant at Arms and Precinct Properties,No Value,Transportation and communication,No Value
2023-24,7985091,Office of the Assembly,Operating Expense,Office of the Assembly Program,Sergeant at Arms and Precinct Properties,No Value,Services,No Value
2023-24,3357471,Office of the Assembly,Operating Expense,Office of the Assembly Program,Sergeant at Arms and Precinct Properties,No Value,Supplies and equipment,No Value
2023-24,-92581,Office of the Assembly,Operating Expense,Office of the Assembly Program,Sergeant at Arms and Precinct Properties,No Value,Recoveries,No Value
2023-24,7495845,Office of the Assembly,Operating Expense,Office of the Assembly Program,Caucus Support Services,No Value,Salaries and wages,No Value
2023-24,1530217,Office of the Assembly,Operating Expense,Office of the Assembly Program,Caucus Support Services,No Value,Employee benefits,No Value
2023-24,169278,Office of the Assembly,Operating Expense,Office of the Assembly Program,Caucus Support Services,No Value,Transportation and communication,No Value
2023-24,3169510,Office of the Assembly,Operating Expense,Office of the Assembly Program,Caucus Support Services,No Value,Services,No Value
2023-24,549499,Office of the Assembly,Operating Expense,Office of the Assembly Program,Caucus Support Services,No Value,Supplies and equipment,No Value
2023-24,14848897,Office of the Assembly,Operating Expense,Office of the Assembly Program,Members' Compensation and Travel,No Value,Salaries and wages,No Value
2023-24,5297966,Office of the Assembly,Operating Expense,Office of the Assembly Program,Members' Compensation and Travel,No Value,Employee benefits,No Value
2023-24,1540369,Office of the Assembly,Operating Expense,Office of the Assembly Program,Members' Compensation and Travel,No Value,Transportation and communication,No Value
2023-24,2198369,Office of the Assembly,Operating Expense,Office of the Assembly Program,Members' Compensation and Travel,No Value,Services,No Value
2023-24,22539,Office of the Assembly,Operating Expense,Office of the Assembly Program,Members' Compensation and Travel,No Value,Supplies and equipment,No Value
2023-24,29890513,Office of the Assembly,Operating Expense,Office of the Assembly Program,Members' Office Support Services,No Value,Salaries and wages,No Value
2023-24,6418875,Office of the Assembly,Operating Expense,Office of the Assembly Program,Members' Office Support Services,No Value,Employee benefits,No Value
2023-24,2976312,Office of the Assembly,Operating Expense,Office of the Assembly Program,Members' Office Support Services,No Value,Transportation and communication,No Value
2023-24,14035926,Office of the Assembly,Operating Expense,Office of the Assembly Program,Members' Office Support Services,No Value,Services,No Value
2023-24,4429487,Office of the Assembly,Operating Expense,Office of the Assembly Program,Members' Office Support Services,No Value,Supplies and equipment,No Value
2023-24,338460,Office of the Assembly,Operating Expense,Office of the Assembly Program,Ontario Legislative Internship Program,No Value,Transfer payments,Ontario Legislative Internship Program
2023-24,2347915,Office of the Assembly,Operating Expense,Office of the Assembly Program,Facility Upgrades,No Value,Services,No Value
2023-24,270248,Office of the Assembly,Operating Expense,Office of the Assembly Program,Facility Upgrades,No Value,Supplies and equipment,No Value
2023-24,-366533,Office of the Assembly,Operating Expense,Office of the Assembly Program,Facility Upgrades,No Value,Recoveries,No Value
2023-24,39113478,Cabinet Office,Operating Expense,Cabinet Office Program,Main Office,Cabinet Office,Salaries and wages,No Value
2023-24,4596999,Cabinet Office,Operating Expense,Cabinet Office Program,Main Office,Cabinet Office,Employee benefits,No Value
2023-24,514215,Cabinet Office,Operating Expense,Cabinet Office Program,Main Office,Cabinet Office,Transportation and communication,No Value
2023-24,2814420,Cabinet Office,Operating Expense,Cabinet Office Program,Main Office,Cabinet Office,Services,No Value
2023-24,255393,Cabinet Office,Operating Expense,Cabinet Office Program,Main Office,Cabinet Office,Supplies and equipment,No Value
2023-24,5376083,Cabinet Office,Operating Expense,Cabinet Office Program,Main Office,Intergovernmental Affairs,Salaries and wages,No Value
2023-24,701664,Cabinet Office,Operating Expense,Cabinet Office Program,Main Office,Intergovernmental Affairs,Employee benefits,No Value
2023-24,84643,Cabinet Office,Operating Expense,Cabinet Office Program,Main Office,Intergovernmental Affairs,Transportation and communication,No Value
2023-24,1138256,Cabinet Office,Operating Expense,Cabinet Office Program,Main Office,Intergovernmental Affairs,Services,No Value
2023-24,30020,Cabinet Office,Operating Expense,Cabinet Office Program,Main Office,Intergovernmental Affairs,Supplies and equipment,No Value
2023-24,6282426,Cabinet Office,Operating Expense,Cabinet Office Program,Main Office,Red Tape Reduction,Salaries and wages,No Value
2023-24,839812,Cabinet Office,Operating Expense,Cabinet Office Program,Main Office,Red Tape Reduction,Employee benefits,No Value
2023-24,32559,Cabinet Office,Operating Expense,Cabinet Office Program,Main Office,Red Tape Reduction,Transportation and communication,No Value
2023-24,1593450,Cabinet Office,Operating Expense,Cabinet Office Program,Main Office,Red Tape Reduction,Services,No Value
2023-24,23332,Cabinet Office,Operating Expense,Cabinet Office Program,Main Office,Red Tape Reduction,Supplies and equipment,No Value
2023-24,279801,Cabinet Office,Operating Expense,Cabinet Office Program,Government House Leader,No Value,Salaries and wages,No Value
2023-24,31229,Cabinet Office,Operating Expense,Cabinet Office Program,Government House Leader,No Value,Employee benefits,No Value
2023-24,1423,Cabinet Office,Operating Expense,Cabinet Office Program,Government House Leader,No Value,Transportation and communication,No Value
2023-24,7938,Cabinet Office,Operating Expense,Cabinet Office Program,Government House Leader,No Value,Services,No Value
2023-24,40289,Cabinet Office,Operating Expense,Cabinet Office Program,Statutory Appropriations,No Value,Salaries and wages,"Minister's Salary, the Executive Council Act"
2023-24,24584,Cabinet Office,Operating Expense,Cabinet Office Program,Statutory Appropriations,No Value,Salaries and wages,"Parliamentary Assistant's Salary, the Executive Council Act"
2023-24,11884265,Office of the Chief Electoral Officer,Operating Expense,Office of the Chief Electoral Officer Program,Election Administration,No Value,Salaries and wages,No Value
2023-24,2570021,Office of the Chief Electoral Officer,Operating Expense,Office of the Chief Electoral Officer Program,Election Administration,No Value,Employee benefits,No Value
2023-24,1671829,Office of the Chief Electoral Officer,Operating Expense,Office of the Chief Electoral Officer Program,Election Finances Administration,No Value,Salaries and wages,No Value
2023-24,401290,Office of the Chief Electoral Officer,Operating Expense,Office of the Chief Electoral Officer Program,Election Finances Administration,No Value,Employee benefits,No Value
2023-24,6373,Office of the Chief Electoral Officer,Operating Expense,Office of the Chief Electoral Officer Program,Election Finances Administration,No Value,Transportation and communication,No Value
2023-24,537777,Office of the Chief Electoral Officer,Operating Expense,Office of the Chief Electoral Officer Program,Election Finances Administration,No Value,Services,No Value
2023-24,6863,Office of the Chief Electoral Officer,Operating Expense,Office of the Chief Electoral Officer Program,Election Finances Administration,No Value,Supplies and equipment,No Value
2023-24,20587304,Office of the Chief Electoral Officer,Operating Expense,Office of the Chief Electoral Officer Program,Election Finances Administration,No Value,Other transactions,Election Expense Subsidies under the Election Finances Act
2023-24,-40258,Office of the Chief Electoral Officer,Operating Expense,Office of the Chief Electoral Officer Program,Election Finances Administration,No Value,Recoveries,No Value
2023-24,28047691,Office of the Chief Electoral Officer,Operating Expense,Office of the Chief Electoral Officer Program,Statutory Appropriations,No Value,Other transactions,The Election Act
2023-24,4522890,"Children, Community and Social Services",Operating Expense,Ministry Administration Program,Ministry Administration,Executive Offices,Salaries and wages,No Value
2023-24,569376,"Children, Community and Social Services",Operating Expense,Ministry Administration Program,Ministry Administration,Executive Offices,Employee benefits,No Value
2023-24,125868,"Children, Community and Social Services",Operating Expense,Ministry Administration Program,Ministry Administration,Executive Offices,Transportation and communication,No Value
2023-24,154767,"Children, Community and Social Services",Operating Expense,Ministry Administration Program,Ministry Administration,Executive Offices,Services,No Value
2023-24,27714,"Children, Community and Social Services",Operating Expense,Ministry Administration Program,Ministry Administration,Executive Offices,Supplies and equipment,No Value
2023-24,16694597,"Children, Community and Social Services",Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Salaries and wages,No Value
2023-24,2334712,"Children, Community and Social Services",Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Employee benefits,No Value
2023-24,170887,"Children, Community and Social Services",Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Transportation and communication,No Value
2023-24,4285584,"Children, Community and Social Services",Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Services,No Value
2023-24,1936517,"Children, Community and Social Services",Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Supplies and equipment,No Value
2023-24,3290387,"Children, Community and Social Services",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Salaries and wages,No Value
2023-24,564101,"Children, Community and Social Services",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Employee benefits,No Value
2023-24,15925,"Children, Community and Social Services",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Transportation and communication,No Value
2023-24,658217,"Children, Community and Social Services",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Services,No Value
2023-24,968,"Children, Community and Social Services",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Supplies and equipment,No Value
2023-24,6203067,"Children, Community and Social Services",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and wages,No Value
