Year,Amount,Ministry Name,Expenditure Category (Operating / Capital),Program Name,Activity / Item,Sub Item,Standard Account (Expense/Asset Name),Account Details (Expense/Asset Details)
2021-22,"234,652","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Employee benefits,No Value
2021-22,"9,863","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Transportation and communication,No Value
2021-22,"69,877","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Services,No Value
2021-22,"6,828","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Supplies and equipment,No Value
2021-22,"3,318,696","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and wages,No Value
2021-22,"510,868","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Employee benefits,No Value
2021-22,"34,674","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Transportation and communication,No Value
2021-22,"759,851","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Services,No Value
2021-22,"15,193","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Supplies and equipment,No Value
2021-22,"8,820","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Transportation and communication,No Value
2021-22,"2,975,326","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Services,No Value
2021-22,"2,719","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Supplies and equipment,No Value
2021-22,"49,301","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Salaries and wages,"Minister's Salary, the Executive Council Act"
2021-22,"33,334","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Salaries and wages,"Parliamentary Assistant's Salary, the Executive Council Act"
2021-22,"31,919,608","Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Better Public Health and Environment,No Value,Salaries and wages,No Value
2021-22,"4,711,342","Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Better Public Health and Environment,No Value,Employee benefits,No Value
2021-22,"1,036,413","Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Better Public Health and Environment,No Value,Transportation and communication,No Value
2021-22,"10,272,405","Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Better Public Health and Environment,No Value,Services,No Value
2021-22,"299,607","Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Better Public Health and Environment,No Value,Supplies and equipment,No Value
2021-22,"9,667,000","Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Better Public Health and Environment,No Value,Transfer payments,Agricultural Drainage Infrastructure Program
2021-22,"15,910,900","Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Better Public Health and Environment,No Value,Transfer payments,Canadian Ag Partnership-Federal-Public Health and Env
2021-22,"563,686","Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Better Public Health and Environment,No Value,Transfer payments,Grassroots Growth Program
2021-22,"444,256","Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Better Public Health and Environment,No Value,Transfer payments,Lake Simcoe Agri-Environmental Partnerships
2021-22,"-520,000","Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Better Public Health and Environment,No Value,Recoveries,No Value
2021-22,"2,457","Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment Program,Statutory Appropriations,No Value,Other transactions,"Bad Debt Expense, the Financial Administration Act"
2021-22,"25,189,232","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,No Value,Salaries and wages,No Value
2021-22,"3,867,792","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,No Value,Employee benefits,No Value
2021-22,"280,565","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,No Value,Transportation and communication,No Value
2021-22,"8,731,839","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,No Value,Services,No Value
2021-22,"277,736","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,No Value,Supplies and equipment,No Value
2021-22,"19,192,649","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,No Value,Transfer payments,Canadian Ag Partnership-Federal-Economic Development
2021-22,"15,788,041","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,No Value,Transfer payments,COVID-19 Programming - Provincial
2021-22,"14,198,024","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,No Value,Transfer payments,Food Industry
2021-22,"5,470,657","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,No Value,Transfer payments,Grassroots Growth Program
2021-22,"21,674,719","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,No Value,Transfer payments,Ontario Wine Fund
2021-22,"4,159,546","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,No Value,Transfer payments,Rural Economic Development Program
2021-22,"3,856,465","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Economic Development,No Value,Transfer payments,Small Cidery and Small Distillery Support Program
2021-22,"2,226,191","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Research,No Value,Salaries and wages,No Value
2021-22,"290,240","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Research,No Value,Employee benefits,No Value
2021-22,"14,962","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Research,No Value,Transportation and communication,No Value
2021-22,"233,898","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Research,No Value,Services,No Value
2021-22,"3,407","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Research,No Value,Supplies and equipment,No Value
2021-22,"8,811,106","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Research,No Value,Transfer payments,Canadian Ag Partnership-Federal-Research
2021-22,"35,208","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Research,No Value,Transfer payments,Food Safety Research
2021-22,"1,250,000","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Research,No Value,Transfer payments,Grants in Lieu of Taxes
2021-22,"66,100,000","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Research,No Value,Transfer payments,University of Guelph
2021-22,"13,259,153","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Business Risk Management Transfers,No Value,Transfer payments,Agricorp
2021-22,"40,759,148","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Business Risk Management Transfers,No Value,Transfer payments,AgriInsurance
2021-22,"21,000,000","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Business Risk Management Transfers,No Value,Transfer payments,AgriInvest
2021-22,"1,567,821","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Business Risk Management Transfers,No Value,Transfer payments,AgriRecovery
2021-22,"20,086,079","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Business Risk Management Transfers,No Value,Transfer payments,AgriStability
2021-22,"150,327,700","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Business Risk Management Transfers,No Value,Transfer payments,Ontario Risk Management Program
2021-22,"374,267","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Business Risk Management Transfers,No Value,Transfer payments,Wildlife Damage Compensation - Federal
2021-22,"398,081","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Business Risk Management Transfers,No Value,Transfer payments,Wildlife Damage Compensation - Provincial
2021-22,"277,208","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Statutory Appropriations,No Value,Other transactions,"Bad Debt Expense, the Financial Administration Act"
2021-22,"10,751,760","Agriculture, Food and Rural Affairs",Operating Expense,Policy Development Program,Policy Development,No Value,Salaries and wages,No Value
2021-22,"1,602,050","Agriculture, Food and Rural Affairs",Operating Expense,Policy Development Program,Policy Development,No Value,Employee benefits,No Value
2021-22,"63,998","Agriculture, Food and Rural Affairs",Operating Expense,Policy Development Program,Policy Development,No Value,Transportation and communication,No Value
2021-22,"1,228,580","Agriculture, Food and Rural Affairs",Operating Expense,Policy Development Program,Policy Development,No Value,Services,No Value
2021-22,"48,490","Agriculture, Food and Rural Affairs",Operating Expense,Policy Development Program,Policy Development,No Value,Supplies and equipment,No Value
2021-22,"500,000","Agriculture, Food and Rural Affairs",Capital Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Agriculture and Rural Affairs Capital,No Value,Transfer payments,Agri-Food and Animal Health Laboratory Infrastructure
2021-22,"2,500,000","Agriculture, Food and Rural Affairs",Capital Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Agriculture and Rural Affairs Capital,No Value,Transfer payments,Research Infrastructure Renewal
2021-22,"4,500,000","Agriculture, Food and Rural Affairs",Capital Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities Program",Agriculture and Rural Affairs Capital,No Value,Transfer payments,Research Infrastructure Maintenance and Repairs
2021-22,"6,180",Office of the Assembly,Operating Expense,Office of the Assembly Program,Office of the Speaker,No Value,Transportation and communication,No Value
2021-22,"89,491",Office of the Assembly,Operating Expense,Office of the Assembly Program,Office of the Speaker,No Value,Services,No Value
2021-22,"6,372",Office of the Assembly,Operating Expense,Office of the Assembly Program,Office of the Speaker,No Value,Supplies and equipment,No Value
2021-22,"841,062",Office of the Assembly,Operating Expense,Office of the Assembly Program,Office of the Clerk,No Value,Salaries and wages,No Value
2021-22,"151,551",Office of the Assembly,Operating Expense,Office of the Assembly Program,Office of the Clerk,No Value,Employee benefits,No Value
2021-22,"1,446",Office of the Assembly,Operating Expense,Office of the Assembly Program,Office of the Clerk,No Value,Transportation and communication,No Value
2021-22,"105,979",Office of the Assembly,Operating Expense,Office of the Assembly Program,Office of the Clerk,No Value,Services,No Value
2021-22,"14,252",Office of the Assembly,Operating Expense,Office of the Assembly Program,Office of the Clerk,No Value,Supplies and equipment,No Value
2021-22,"8,239,765",Office of the Assembly,Operating Expense,Office of the Assembly Program,Legislative Services,No Value,Salaries and wages,No Value
2021-22,"1,926,908",Office of the Assembly,Operating Expense,Office of the Assembly Program,Legislative Services,No Value,Employee benefits,No Value
2021-22,"46,826",Office of the Assembly,Operating Expense,Office of the Assembly Program,Legislative Services,No Value,Transportation and communication,No Value
2021-22,"1,218,757",Office of the Assembly,Operating Expense,Office of the Assembly Program,Legislative Services,No Value,Services,No Value
2021-22,"462,779",Office of the Assembly,Operating Expense,Office of the Assembly Program,Legislative Services,No Value,Supplies and equipment,No Value
2021-22,"-53,473",Office of the Assembly,Operating Expense,Office of the Assembly Program,Legislative Services,No Value,Recoveries,No Value
2021-22,"8,296,591",Office of the Assembly,Operating Expense,Office of the Assembly Program,Information and Technology Services,No Value,Salaries and wages,No Value
2021-22,"1,772,166",Office of the Assembly,Operating Expense,Office of the Assembly Program,Information and Technology Services,No Value,Employee benefits,No Value
2021-22,"43,263",Office of the Assembly,Operating Expense,Office of the Assembly Program,Information and Technology Services,No Value,Transportation and communication,No Value
2021-22,"1,914,171",Office of the Assembly,Operating Expense,Office of the Assembly Program,Information and Technology Services,No Value,Services,No Value
2021-22,"656,562",Office of the Assembly,Operating Expense,Office of the Assembly Program,Information and Technology Services,No Value,Supplies and equipment,No Value
2021-22,"5,124,644",Office of the Assembly,Operating Expense,Office of the Assembly Program,Administrative Services,No Value,Salaries and wages,No Value
2021-22,"1,173,930",Office of the Assembly,Operating Expense,Office of the Assembly Program,Administrative Services,No Value,Employee benefits,No Value
2021-22,"620,194",Office of the Assembly,Operating Expense,Office of the Assembly Program,Administrative Services,No Value,Transportation and communication,No Value
2021-22,"778,044",Office of the Assembly,Operating Expense,Office of the Assembly Program,Administrative Services,No Value,Services,No Value
2021-22,"68,299",Office of the Assembly,Operating Expense,Office of the Assembly Program,Administrative Services,No Value,Supplies and equipment,No Value
2021-22,"10,102,985",Office of the Assembly,Operating Expense,Office of the Assembly Program,Sergeant at Arms and Precinct Properties,No Value,Salaries and wages,No Value
2021-22,"2,238,279",Office of the Assembly,Operating Expense,Office of the Assembly Program,Sergeant at Arms and Precinct Properties,No Value,Employee benefits,No Value
2021-22,"15,826",Office of the Assembly,Operating Expense,Office of the Assembly Program,Sergeant at Arms and Precinct Properties,No Value,Transportation and communication,No Value
2021-22,"9,271,222",Office of the Assembly,Operating Expense,Office of the Assembly Program,Sergeant at Arms and Precinct Properties,No Value,Services,No Value
2021-22,"2,345,857",Office of the Assembly,Operating Expense,Office of the Assembly Program,Sergeant at Arms and Precinct Properties,No Value,Supplies and equipment,No Value
2021-22,"-129,258",Office of the Assembly,Operating Expense,Office of the Assembly Program,Sergeant at Arms and Precinct Properties,No Value,Recoveries,No Value
2021-22,"6,310,375",Office of the Assembly,Operating Expense,Office of the Assembly Program,Caucus Support Services,No Value,Salaries and wages,No Value
2021-22,"1,315,190",Office of the Assembly,Operating Expense,Office of the Assembly Program,Caucus Support Services,No Value,Employee benefits,No Value
2021-22,"138,799",Office of the Assembly,Operating Expense,Office of the Assembly Program,Caucus Support Services,No Value,Transportation and communication,No Value
2021-22,"2,291,733",Office of the Assembly,Operating Expense,Office of the Assembly Program,Caucus Support Services,No Value,Services,No Value
2021-22,"255,435",Office of the Assembly,Operating Expense,Office of the Assembly Program,Caucus Support Services,No Value,Supplies and equipment,No Value
2021-22,"14,970,415",Office of the Assembly,Operating Expense,Office of the Assembly Program,Members' Compensation and Travel,No Value,Salaries and wages,No Value
2021-22,"4,730,899",Office of the Assembly,Operating Expense,Office of the Assembly Program,Members' Compensation and Travel,No Value,Employee benefits,No Value
2021-22,"727,456",Office of the Assembly,Operating Expense,Office of the Assembly Program,Members' Compensation and Travel,No Value,Transportation and communication,No Value
2021-22,"1,837,059",Office of the Assembly,Operating Expense,Office of the Assembly Program,Members' Compensation and Travel,No Value,Services,No Value
2021-22,"21,553",Office of the Assembly,Operating Expense,Office of the Assembly Program,Members' Compensation and Travel,No Value,Supplies and equipment,No Value
2021-22,"25,080,757",Office of the Assembly,Operating Expense,Office of the Assembly Program,Members' Office Support Services,No Value,Salaries and wages,No Value
2021-22,"5,559,849",Office of the Assembly,Operating Expense,Office of the Assembly Program,Members' Office Support Services,No Value,Employee benefits,No Value
2021-22,"2,623,274",Office of the Assembly,Operating Expense,Office of the Assembly Program,Members' Office Support Services,No Value,Transportation and communication,No Value
2021-22,"10,779,747",Office of the Assembly,Operating Expense,Office of the Assembly Program,Members' Office Support Services,No Value,Services,No Value
2021-22,"1,835,215",Office of the Assembly,Operating Expense,Office of the Assembly Program,Members' Office Support Services,No Value,Supplies and equipment,No Value
2021-22,"307,514",Office of the Assembly,Operating Expense,Office of the Assembly Program,Ontario Legislative Internship Program,No Value,Transfer payments,Ontario Legislative Internship Program
2021-22,"1,100,173",Office of the Assembly,Operating Expense,Office of the Assembly Program,Facility Upgrades,No Value,Services,No Value
2021-22,"38,607",Office of the Assembly,Operating Expense,Office of the Assembly Program,Facility Upgrades,No Value,Supplies and equipment,No Value
2021-22,"-53,885",Office of the Assembly,Operating Expense,Office of the Assembly Program,Facility Upgrades,No Value,Recoveries,No Value
2021-22,"14,322,327",Office of the Assembly,Operating Expense,Commission(er)'s Program,Office of the Information and Privacy Commissioner,No Value,Salaries and wages,No Value
2021-22,"3,325,188",Office of the Assembly,Operating Expense,Commission(er)'s Program,Office of the Information and Privacy Commissioner,No Value,Employee benefits,No Value
2021-22,"124,202",Office of the Assembly,Operating Expense,Commission(er)'s Program,Office of the Information and Privacy Commissioner,No Value,Transportation and communication,No Value
2021-22,"3,737,032",Office of the Assembly,Operating Expense,Commission(er)'s Program,Office of the Information and Privacy Commissioner,No Value,Services,No Value
2021-22,"184,591",Office of the Assembly,Operating Expense,Commission(er)'s Program,Office of the Information and Privacy Commissioner,No Value,Supplies and equipment,No Value
2021-22,"2,236,867",Office of the Assembly,Operating Expense,Commission(er)'s Program,Office of the Integrity Commissioner,No Value,Salaries and wages,No Value
2021-22,"495,927",Office of the Assembly,Operating Expense,Commission(er)'s Program,Office of the Integrity Commissioner,No Value,Employee benefits,No Value
2021-22,"49,649",Office of the Assembly,Operating Expense,Commission(er)'s Program,Office of the Integrity Commissioner,No Value,Transportation and communication,No Value
2021-22,"925,508",Office of the Assembly,Operating Expense,Commission(er)'s Program,Office of the Integrity Commissioner,No Value,Services,No Value
2021-22,"9,929",Office of the Assembly,Operating Expense,Commission(er)'s Program,Office of the Integrity Commissioner,No Value,Supplies and equipment,No Value
2021-22,"2,552,552",Office of the Assembly,Operating Expense,Commission(er)'s Program,Financial Accountability Officer,No Value,Salaries and wages,No Value
2021-22,"540,587",Office of the Assembly,Operating Expense,Commission(er)'s Program,Financial Accountability Officer,No Value,Employee benefits,No Value
2021-22,"14,902",Office of the Assembly,Operating Expense,Commission(er)'s Program,Financial Accountability Officer,No Value,Transportation and communication,No Value
2021-22,"717,630",Office of the Assembly,Operating Expense,Commission(er)'s Program,Financial Accountability Officer,No Value,Services,No Value
2021-22,"35,486",Office of the Assembly,Operating Expense,Commission(er)'s Program,Financial Accountability Officer,No Value,Supplies and equipment,No Value
2021-22,"15,689,353",Office of the Auditor General,Operating Expense,Office of the Auditor General Program,Office of the Auditor General,No Value,Salaries and wages,No Value
2021-22,"4,122,301",Office of the Auditor General,Operating Expense,Office of the Auditor General Program,Office of the Auditor General,No Value,Employee benefits,No Value
2021-22,"155,040",Office of the Auditor General,Operating Expense,Office of the Auditor General Program,Office of the Auditor General,No Value,Transportation and communication,No Value
2021-22,"4,029,040",Office of the Auditor General,Operating Expense,Office of the Auditor General Program,Office of the Auditor General,No Value,Services,No Value
2021-22,"567,467",Office of the Auditor General,Operating Expense,Office of the Auditor General Program,Office of the Auditor General,No Value,Supplies and equipment,No Value
2021-22,"13,500",Office of the Auditor General,Operating Expense,Office of the Auditor General Program,Office of the Auditor General,No Value,Transfer payments,CAAF-FCAR Inc
2021-22,"389,252",Office of the Auditor General,Operating Expense,Office of the Auditor General Program,Statutory Appropriations,The Auditor General Act,Salaries and wages,No Value
2021-22,"890,397",Office of the Auditor General,Operating Expense,Office of the Auditor General Program,Statutory Appropriations,The Auditor General Act,Services,No Value
2021-22,"23,906,384",Cabinet Office,Operating Expense,Cabinet Office Program,Main Office,Cabinet Office,Salaries and wages,No Value
2021-22,"3,230,927",Cabinet Office,Operating Expense,Cabinet Office Program,Main Office,Cabinet Office,Employee benefits,No Value
2021-22,"274,653",Cabinet Office,Operating Expense,Cabinet Office Program,Main Office,Cabinet Office,Transportation and communication,No Value
2021-22,"1,203,996",Cabinet Office,Operating Expense,Cabinet Office Program,Main Office,Cabinet Office,Services,No Value
2021-22,"213,411",Cabinet Office,Operating Expense,Cabinet Office Program,Main Office,Cabinet Office,Supplies and equipment,No Value
2021-22,"5,921,549",Cabinet Office,Operating Expense,Cabinet Office Program,Main Office,Intergovernmental Affairs,Salaries and wages,No Value
2021-22,"766,457",Cabinet Office,Operating Expense,Cabinet Office Program,Main Office,Intergovernmental Affairs,Employee benefits,No Value
2021-22,"34,653",Cabinet Office,Operating Expense,Cabinet Office Program,Main Office,Intergovernmental Affairs,Transportation and communication,No Value
2021-22,"765,762",Cabinet Office,Operating Expense,Cabinet Office Program,Main Office,Intergovernmental Affairs,Services,No Value
2021-22,"27,286",Cabinet Office,Operating Expense,Cabinet Office Program,Main Office,Intergovernmental Affairs,Supplies and equipment,No Value
2021-22,"2,195,043",Cabinet Office,Operating Expense,Cabinet Office Program,Main Office,Intergovernmental Affairs,Transfer payments,International Disaster Relief
2021-22,"279,980",Cabinet Office,Operating Expense,Cabinet Office Program,Government House Leader,No Value,Salaries and wages,No Value
2021-22,"31,283",Cabinet Office,Operating Expense,Cabinet Office Program,Government House Leader,No Value,Employee benefits,No Value
2021-22,"2,142",Cabinet Office,Operating Expense,Cabinet Office Program,Government House Leader,No Value,Transportation and communication,No Value
2021-22,"8,259",Cabinet Office,Operating Expense,Cabinet Office Program,Government House Leader,No Value,Services,No Value
2021-22,"34,537",Cabinet Office,Operating Expense,Cabinet Office Program,Statutory Appropriations,No Value,Salaries and wages,"Minister's Salary, the Executive Council Act"
2021-22,"22,871",Cabinet Office,Operating Expense,Cabinet Office Program,Statutory Appropriations,No Value,Salaries and wages,"Parliamentary Assistant's Salary, the Executive Council Act"
2021-22,"10,055,167",Office of the Chief Electoral Officer,Operating Expense,Office of the Chief Electoral Officer Program,Election Administration,No Value,Salaries and wages,No Value
2021-22,"2,422,645",Office of the Chief Electoral Officer,Operating Expense,Office of the Chief Electoral Officer Program,Election Administration,No Value,Employee benefits,No Value
2021-22,"1,484,090",Office of the Chief Electoral Officer,Operating Expense,Office of the Chief Electoral Officer Program,Election Finances Administration,No Value,Salaries and wages,No Value
2021-22,"401,252",Office of the Chief Electoral Officer,Operating Expense,Office of the Chief Electoral Officer Program,Election Finances Administration,No Value,Employee benefits,No Value
2021-22,"8,505",Office of the Chief Electoral Officer,Operating Expense,Office of the Chief Electoral Officer Program,Election Finances Administration,No Value,Transportation and communication,No Value
2021-22,"691,311",Office of the Chief Electoral Officer,Operating Expense,Office of the Chief Electoral Officer Program,Election Finances Administration,No Value,Services,No Value
2021-22,"32,446",Office of the Chief Electoral Officer,Operating Expense,Office of the Chief Electoral Officer Program,Election Finances Administration,No Value,Supplies and equipment,No Value
2021-22,"19,703,924",Office of the Chief Electoral Officer,Operating Expense,Office of the Chief Electoral Officer Program,Election Finances Administration,No Value,Other transactions,Election Expense Subsidies under the Election Finances Act
2021-22,"-28,954",Office of the Chief Electoral Officer,Operating Expense,Office of the Chief Electoral Officer Program,Election Finances Administration,No Value,Recoveries,No Value
2021-22,"52,762,375",Office of the Chief Electoral Officer,Operating Expense,Office of the Chief Electoral Officer Program,Statutory Appropriations,No Value,Other transactions,The Election Act
2021-22,"2,037,745",Colleges and Universities,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Salaries and wages,No Value
2021-22,"243,850",Colleges and Universities,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Employee benefits,No Value
2021-22,"73,550",Colleges and Universities,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Transportation and communication,No Value
2021-22,"101,899",Colleges and Universities,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Services,No Value
2021-22,"3,771",Colleges and Universities,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Supplies and equipment,No Value
2021-22,"2,062,921",Colleges and Universities,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Salaries and wages,No Value
2021-22,"391,170",Colleges and Universities,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Employee benefits,No Value
2021-22,"6,361",Colleges and Universities,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Transportation and communication,No Value
2021-22,"3,995,474",Colleges and Universities,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Services,No Value
2021-22,182,Colleges and Universities,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Supplies and equipment,No Value
2021-22,"1,290,700",Colleges and Universities,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Services,No Value
