Year,Amount $,Ministry name,Expenditure category (Operating / Capital),Program name,Activity / Item,Sub item,Standard account (Expense/Asset name),Account details (Expense/Asset details)
2020-21,"4,500,000","Agriculture, Food and Rural Affairs",Capital Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Agriculture and Rural Affairs Capital,No Value,Transfer payments,Research Infrastructure Maintenance and Repairs
2020-21,"2,500,000","Agriculture, Food and Rural Affairs",Capital Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Agriculture and Rural Affairs Capital,No Value,Transfer payments,Research Infrastructure Renewal
2020-21,"500,000","Agriculture, Food and Rural Affairs",Capital Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Agriculture and Rural Affairs Capital,No Value,Transfer payments,Agri-Food and Animal Health Laboratory Infrastructure
2020-21,"150,000,000","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Business Risk Management Transfers,No Value,Transfer payments,Ontario Risk Management Program
2020-21,"66,100,000","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Research,No Value,Transfer payments,University of Guelph
2020-21,"33,919,520","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Business Risk Management Transfers,No Value,Transfer payments,AgriInsurance
2020-21,"32,000,000","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Business Risk Management Transfers,No Value,Transfer payments,Farmers’ Risk Management Premium Fund
2020-21,"30,469,500","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Business Risk Management Transfers,No Value,Transfer payments,AgriStability
2020-21,"27,801,268","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,No Value,Transfer payments,Food Industry
2020-21,"24,188,817","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,No Value,Transfer payments,Canadian Ag Partnership - Federal - Economic Development
2020-21,"20,466,786","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,No Value,Salaries and wages,No Value
2020-21,"20,000,000","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Business Risk Management Transfers,No Value,Transfer payments,AgriInvest
2020-21,"14,688,873","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Business Risk Management Transfers,No Value,Transfer payments,Agricorp
2020-21,"12,577,400","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,No Value,Transfer payments,COVID-19 Programming - Federal
2020-21,"12,501,185","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,No Value,Transfer payments,Ontario Wine Fund
2020-21,"11,070,406","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,No Value,Transfer payments,COVID-19 Programming - Provincial
2020-21,"7,656,293","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Research,No Value,Transfer payments,Canadian Ag Partnership - Federal - Research
2020-21,"7,093,381","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,No Value,Services,No Value
2020-21,"7,037,297","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,No Value,Transfer payments,Grassroots Growth Program
2020-21,"4,040,329","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,No Value,Transfer payments,Rural Economic Development Program
2020-21,"3,172,164","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,No Value,Employee benefits,No Value
2020-21,"2,821,578","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Business Risk Management Transfers,No Value,Transfer payments,AgriRecovery - Federal
2020-21,"2,656,896","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,No Value,Transfer payments,Small Cidery and Small Distillery Support Program
2020-21,"1,984,405","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Research,No Value,Salaries and wages,No Value
2020-21,"1,881,052","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Business Risk Management Transfers,No Value,Transfer payments,AgriRecovery - Provincial
2020-21,"1,000,000","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Research,No Value,Transfer payments,Grants in Lieu of Taxes
2020-21,"417,172","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Research,No Value,Services,No Value
2020-21,"385,235","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Business Risk Management Transfers,No Value,Transfer payments,Wildlife Damage Compensation - Provincial
2020-21,"362,663","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Business Risk Management Transfers,No Value,Transfer payments,Wildlife Damage Compensation - Federal
2020-21,"256,571","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,No Value,Transportation and communication,No Value
2020-21,"247,516","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Research,No Value,Employee benefits,No Value
2020-21,"159,543","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Research,No Value,Transfer payments,Food Safety Research
2020-21,"135,596","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Statutory Appropriations,No Value,Other transactions,"Bad Debt Expense, the Financial Administration Act"
2020-21,"114,649","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,No Value,Supplies and equipment,No Value
2020-21,"9,388","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Research,No Value,Transportation and communication,No Value
2020-21,"1,695","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Research,No Value,Supplies and equipment,No Value
2020-21,"-2,821,578","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Business Risk Management Transfers,No Value,Recoveries,No Value
2020-21,"-13,835,140","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,No Value,Recoveries,No Value
2020-21,"13,531,705","Assembly, Office of the",Operating Expense,Commission(er)’s Program,Office of the Information and Privacy Commissioner,No Value,Salaries and wages,No Value
2020-21,"3,268,132","Assembly, Office of the",Operating Expense,Commission(er)’s Program,Office of the Information and Privacy Commissioner,No Value,Employee benefits,No Value
2020-21,"3,000,591","Assembly, Office of the",Operating Expense,Commission(er)’s Program,Office of the Information and Privacy Commissioner,No Value,Services,No Value
2020-21,"2,736,481","Assembly, Office of the",Operating Expense,Commission(er)’s Program,Financial Accountability Officer,No Value,Salaries and wages,No Value
2020-21,"2,385,789","Assembly, Office of the",Operating Expense,Commission(er)’s Program,Office of the Integrity Commissioner,No Value,Salaries and wages,No Value
2020-21,"856,091","Assembly, Office of the",Operating Expense,Commission(er)’s Program,Office of the Integrity Commissioner,No Value,Services,No Value
2020-21,"644,889","Assembly, Office of the",Operating Expense,Commission(er)’s Program,Financial Accountability Officer,No Value,Services,No Value
2020-21,"518,913","Assembly, Office of the",Operating Expense,Commission(er)’s Program,Financial Accountability Officer,No Value,Employee benefits,No Value
2020-21,"486,205","Assembly, Office of the",Operating Expense,Commission(er)’s Program,Office of the Integrity Commissioner,No Value,Employee benefits,No Value
2020-21,"203,575","Assembly, Office of the",Operating Expense,Commission(er)’s Program,Office of the Information and Privacy Commissioner,No Value,Supplies and equipment,No Value
2020-21,"123,254","Assembly, Office of the",Operating Expense,Commission(er)’s Program,Office of the Information and Privacy Commissioner,No Value,Transportation and communication,No Value
2020-21,"60,411","Assembly, Office of the",Operating Expense,Commission(er)’s Program,Office of the Integrity Commissioner,No Value,Supplies and equipment,No Value
2020-21,"49,352","Assembly, Office of the",Operating Expense,Commission(er)’s Program,Office of the Integrity Commissioner,No Value,Transportation and communication,No Value
2020-21,"28,111","Assembly, Office of the",Operating Expense,Commission(er)’s Program,Financial Accountability Officer,No Value,Supplies and equipment,No Value
2020-21,"9,225","Assembly, Office of the",Operating Expense,Commission(er)’s Program,Financial Accountability Officer,No Value,Transportation and communication,No Value
2020-21,"24,435,190","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Members’ Office Support Services,No Value,Salaries and wages,No Value
2020-21,"15,068,791","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Members’ Compensation and Travel,No Value,Salaries and wages,No Value
2020-21,"11,605,667","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Members’ Office Support Services,No Value,Services,No Value
2020-21,"9,373,758","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Sergeant at Arms and Precinct Properties,No Value,Salaries and wages,No Value
2020-21,"8,235,315","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Legislative Services,No Value,Salaries and wages,No Value
2020-21,"7,770,521","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Information and Technology Services,No Value,Salaries and wages,No Value
2020-21,"7,533,644","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Sergeant at Arms and Precinct Properties,No Value,Services,No Value
2020-21,"6,367,620","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Caucus Support Services,No Value,Salaries and wages,No Value
2020-21,"5,386,989","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Members’ Office Support Services,No Value,Employee benefits,No Value
2020-21,"4,897,750","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Administrative Services,No Value,Salaries and wages,No Value
2020-21,"4,519,383","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Caucus Support Services,No Value,Employee benefits,No Value
2020-21,"3,647,145","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Facility Upgrades,No Value,Services,No Value
2020-21,"2,718,429","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Sergeant at Arms and Precinct Properties,No Value,Supplies and equipment,No Value
2020-21,"2,655,935","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Members’ Office Support Services,No Value,Transportation and communication,No Value
2020-21,"2,521,298","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Members’ Office Support Services,No Value,Supplies and equipment,No Value
2020-21,"2,204,519","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Caucus Support Services,No Value,Services,No Value
2020-21,"2,175,821","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Information and Technology Services,No Value,Services,No Value
2020-21,"2,100,118","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Sergeant at Arms and Precinct Properties,No Value,Employee benefits,No Value
2020-21,"2,037,794","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Legislative Services,No Value,Employee benefits,No Value
2020-21,"1,869,031","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Facility Upgrades,No Value,Services,No Value
2020-21,"1,636,300","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Information and Technology Services,No Value,Employee benefits,No Value
2020-21,"1,449,853","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Caucus Support Services,No Value,Employee benefits,No Value
2020-21,"1,185,596","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Administrative Services,No Value,Services,No Value
2020-21,"1,127,936","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Administrative Services,No Value,Employee benefits,No Value
2020-21,"1,071,533","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Legislative Services,No Value,Services,No Value
2020-21,"821,474","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Legislative Services,No Value,Supplies and equipment,No Value
2020-21,"773,276","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Information and Technology Services,No Value,Supplies and equipment,No Value
2020-21,"770,302","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Office of the Clerk,No Value,Salaries and wages,No Value
2020-21,"654,247","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Facility Upgrades,No Value,Transportation and communication,No Value
2020-21,"615,755","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Administrative Services,No Value,Transportation and communication,No Value
2020-21,"312,700","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Ontario Legislative Internship Program,No Value,Transfer payments,Ontario Legislative Internship Program
2020-21,"250,164","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Caucus Support Services,No Value,Supplies and equipment,No Value
2020-21,"137,066","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Office of the Clerk,No Value,Employee benefits,No Value
2020-21,"133,485","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Office of the Speaker,No Value,Services,No Value
2020-21,"123,251","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Facility Upgrades,No Value,Supplies and equipment,No Value
2020-21,"105,130","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Administrative Services,No Value,Supplies and equipment,No Value
2020-21,"97,909","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Caucus Support Services,No Value,Transportation and communication,No Value
2020-21,"67,064","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Office of the Clerk,No Value,Services,No Value
2020-21,"52,895","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Information and Technology Services,No Value,Transportation and communication,No Value
2020-21,"41,220","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Legislative Services,No Value,Transportation and communication,No Value
2020-21,"33,100","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Sergeant at Arms and Precinct Properties,No Value,Transportation and communication,No Value
2020-21,"22,371","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Office of the Clerk,No Value,Supplies and equipment,No Value
2020-21,"20,591","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Information and Technology Services,No Value,Supplies and equipment,No Value
2020-21,"10,094","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Office of the Speaker,No Value,Supplies and equipment,No Value
2020-21,"2,002","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Office of the Clerk,No Value,Transportation and communication,No Value
2020-21,"1,429","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Office of the Speaker,No Value,Transportation and communication,No Value
2020-21,"-6,115","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Facility Upgrades,No Value,Recoveries,No Value
2020-21,"-27,418","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Legislative Services,No Value,Recoveries,No Value
2020-21,"-130,116","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Sergeant at Arms and Precinct Properties,No Value,Recoveries,No Value
2020-21,"50,598,104",Attorney General,Capital Expense,Court Services Program,Court Construction,No Value,Other transactions,Major Infrastructure Projects - Payments
2020-21,"538,576",Attorney General,Capital Expense,Court Services Program,Statutory Appropriations,No Value,Other transactions,"Amortization, the Financial Administration Act"
2020-21,"200,841,490",Attorney General,Operating Expense,Court Services Program,Statutory Appropriations,No Value,Other transactions,"Bad Debt Expense, the Financial Administration Act"
2020-21,"158,751,299",Attorney General,Operating Expense,Court Services Program,Administration of Justice,No Value,Salaries and wages,No Value
2020-21,"155,134,208",Attorney General,Operating Expense,Court Services Program,Judicial Services,No Value,Salaries and wages,No Value
2020-21,"50,244,317",Attorney General,Operating Expense,Court Services Program,Administration of Justice,No Value,Services,No Value
2020-21,"28,577,825",Attorney General,Operating Expense,Court Services Program,Administration of Justice,No Value,Employee benefits,No Value
2020-21,"12,956,816",Attorney General,Operating Expense,Court Services Program,Administration of Justice,No Value,Transportation and communication,No Value
2020-21,"12,083,927",Attorney General,Operating Expense,Court Services Program,Judicial Services,No Value,Employee benefits,No Value
2020-21,"11,483,405",Attorney General,Operating Expense,Court Services Program,Judicial Services,No Value,Services,No Value
2020-21,"5,118,381",Attorney General,Operating Expense,Court Services Program,Administration of Justice,No Value,Supplies and equipment,No Value
2020-21,"1,203,914",Attorney General,Operating Expense,Court Services Program,Administration of Justice,No Value,Transfer payments,No Value
2020-21,"728,944",Attorney General,Operating Expense,Court Services Program,Judicial Services,No Value,Transportation and communication,No Value
2020-21,"446,366",Attorney General,Operating Expense,Court Services Program,Judicial Services,No Value,Supplies and equipment,No Value
2020-21,"231,951",Attorney General,Operating Expense,Court Services Program,Judicial Services,No Value,Transfer payments,No Value
2020-21,"106,115,036",Attorney General,Operating Expense,Legal Services Program,Civil Law,Seconded Legal Services Branches,Salaries and wages,No Value
2020-21,"60,275,139",Attorney General,Operating Expense,Legal Services Program,Statutory Appropriations,No Value,Other transactions,The Proceedings against the Crown Act
2020-21,"32,184,596",Attorney General,Operating Expense,Legal Services Program,Civil Law,Central Branches,Salaries and wages,No Value
2020-21,"10,936,127",Attorney General,Operating Expense,Legal Services Program,Civil Law,Seconded Legal Services Branches,Employee benefits,No Value
2020-21,"6,607,345",Attorney General,Operating Expense,Legal Services Program,Civil Law,Central Branches,Services,No Value
2020-21,"5,450,416",Attorney General,Operating Expense,Legal Services Program,Legislative Counsel Services,No Value,Salaries and wages,No Value
2020-21,"3,786,535",Attorney General,Operating Expense,Legal Services Program,Civil Law,Central Branches,Employee benefits,No Value
2020-21,"743,414",Attorney General,Operating Expense,Legal Services Program,Legislative Counsel Services,No Value,Employee benefits,No Value
2020-21,"670,207",Attorney General,Operating Expense,Legal Services Program,Civil Law,Central Branches,Supplies and equipment,No Value
2020-21,"303,556",Attorney General,Operating Expense,Legal Services Program,Legislative Counsel Services,No Value,Services,No Value
2020-21,"194,031",Attorney General,Operating Expense,Legal Services Program,Civil Law,Central Branches,Transportation and communication,No Value
2020-21,"19,371",Attorney General,Operating Expense,Legal Services Program,Legislative Counsel Services,No Value,Transportation and communication,No Value
2020-21,"17,128",Attorney General,Operating Expense,Legal Services Program,Legislative Counsel Services,No Value,Supplies and equipment,No Value
2020-21,"-2,393,153",Attorney General,Operating Expense,Legal Services Program,Legislative Counsel Services,No Value,Recoveries,No Value
2020-21,"-19,947,551",Attorney General,Operating Expense,Legal Services Program,Civil Law,Central Branches,Recoveries,No Value
2020-21,"-117,050,163",Attorney General,Operating Expense,Legal Services Program,Civil Law,Seconded Legal Services Branches,Recoveries,No Value
2020-21,"35,471,392",Attorney General,Capital Expense,Ministry Administration Program,Facilities Renewal,No Value,Other transactions,Capital Investments - Renewal Expense
2020-21,"6,888,159",Attorney General,Capital Expense,Ministry Administration Program,Facilities Renewal,No Value,Other transactions,Capital Investments - Assets Renewal
2020-21,"211,762,542",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Accommodation - Lease Costs,Services,No Value
2020-21,"18,074,238",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Salaries and wages,No Value
2020-21,"12,140,735",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Services,No Value
2020-21,"2,995,143",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Salaries and wages,No Value
2020-21,"2,604,939",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and wages,No Value
2020-21,"2,464,279",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Employee benefits,No Value
2020-21,"967,194",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Supplies and equipment,No Value
2020-21,"406,715",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Transportation and communication,No Value
2020-21,"351,445",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Employee benefits,No Value
2020-21,"290,496",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Employee benefits,No Value
2020-21,"271,734",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Services,No Value
2020-21,"240,000",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Transfer payments,Innovation Projects
